"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Bulgaria","BGR",20200912,"C4: Restrictions on gatherings",1,"National","""When holding outdoor sports competitions , an audience of up to 1,000 people per sector is allowed, with occupancy of not more than 50%, when accommodating spectators at least in 1 seat, subject to a physical distance of 1.5 m, and in compliance with the anti-epidemic measures and instructions specified in the order of the Minister of Health. (Order ? RD-01-489 of 31.08.2020)""  http://web.archive.org/web/20200923052621/https://coronavirus.bg/bg/merki/ogranichitelni-merki","bulgaria","restrictions on gatherings > 1000 people"
"Bahrain","BHR",20200928,"C4: Restrictions on gatherings",4,"National","Stay the same as the announcement made on 17 Sep. ","bahrain","restrictions on gatherings of <= 10 people"
"Bosnia and Herzegovina","BIH",20201003,"C4: Restrictions on gatherings",3,"National","""The wearing of facemasks is mandatory in public (everywhere indoor and outdoor whenever it is  not possible to maintain a distance of two meters) and public gatherings of more than 50 people  are prohibited.""  https://web.archive.org/web/20201014064739/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Bosnia-and-Herzegovina.pdf","bosnia and herzegovina","restrictions on gatherings between 11-100 people"
"Belarus","BLR",20200908,"C4: Restrictions on gatherings",0,NA,"No change in policy found.","belarus","no restrictions"
"Belize","BLZ",20200915,"C4: Restrictions on gatherings",4,"National","No changes from previous data","belize","restrictions on gatherings of <= 10 people"
"Bermuda","BMU",20200929,"C4: Restrictions on gatherings",3,"National","""Persons should not gather in groups of 75 or more in public or private, except for specific circumstaces which include: wedding, funerals, worship settings, and public transport.""    https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","restrictions on gatherings between 11-100 people"
"Bolivia","BOL",20200921,"C4: Restrictions on gatherings",4,"National","No change in policy found, ""From September 1 to 30, the following restrictions are maintained: closing of borders, suspension of face-to-face classes and prohibition of public events (cultural, sports, holidays and political). Likewise, the movement of people and vehicles from Monday to Friday from 8:00 p.m. to 5:00 a.m., and on Saturdays and Sundays from 4:00 p.m. to 5:00 a.m.""      http://web.archive.org/web/20201001095534/https://www.minsalud.gob.bo/4559-bolivia-iniciara-en-septiembre-la-transicion-hacia-la-fase-pos-confinamiento-y-de-vigilancia-comunitaria","bolivia","restrictions on gatherings of <= 10 people"
"Brazil","BRA",20200911,"C4: Restrictions on gatherings",4,"Regional","In Primavera do Leste (MT), the city government authorized events for up to 50 people.    Link:   https://web.archive.org/web/20200915015654/https://g1.globo.com/mt/mato-grosso/noticia/2020/09/11/eventos-com-ate-50-pessoas-sao-liberados-em-primavera-do-leste-mt.ghtml    In ES events remain suspended until September 21.    Link:   https://web.archive.org/web/20200915015801/https://g1.globo.com/es/espirito-santo/noticia/2020/09/11/eventos-sociais-sao-liberados-a-partir-de-21-de-setembro-anuncia-governador-do-es.ghtml","brazil","restrictions on gatherings of <= 10 people"
"Barbados","BRB",20200725,"C4: Restrictions on gatherings",0,NA,"The Government published a guideline for event organisers. In it, it describes that the area designated for individuals is to be calculated at 25 sq ft per individual, and areas designated for groups should be calculated at 10 sq ft per person. Groups should be spaced at least 6 ft apart. There is no specified upper limit of persons allowed in each event. The COVID-19 Monitoring Unit specifically announced that gatherings beyond the 500 persons limit would be allowed on July 26 The Day of National Significance and August 1 Emancipation Day. See government guidelines, archived: https://web.archive.org/web/20200920122222/https://gisbarbados.gov.bb/download/covid-19-guideline-for-producers-of-events/ AND news article, archived: https://web.archive.org/web/20200920123718/https://today.caricom.org/2020/07/22/covid-19-update-barbados-relaxation-of-public-gathering-numbers-july-26-aug-1/ ","barbados","no restrictions"
"Brunei","BRN",20200917,"C4: Restrictions on gatherings",2,"National","Restrictions remain the same.  https://web.archive.org/web/20200917091838/https://thescoop.co/covid19/","brunei","restrictions on gatherings between 101-1000 people"
"Bhutan","BTN",20201012,"C4: Restrictions on gatherings",4,"National","5. Public gathering    – No social events like birthday, wedding, promotions, official dinners and functions will be allowed until further notice.  – Cremation and funeral rites will be limited to close family circles, as authorised by the local authorities.  – No outdoor activities like picnic, hiking, visiting spiritual sites are allowed in this period.    https://web.archive.org/web/20201012213410/https://www.gov.bt/covid19/31-08-20-press-release-pmo/","bhutan","restrictions on gatherings of <= 10 people"
"Botswana","BWA",20201008,"C4: Restrictions on gatherings",3,"National","Authorities in Botswana have extended the national state of public emergency for another six months until March 2021 amid efforts to contain the coronavirus disease (COVID-19) pandemic. Several COVID-19-related restrictions remain in place nationwide. Meetings of more than 50 people are currently prohibited, although religious meetings have been permitted with limits on capacity to facilitate social distancing measures can be followed.  http://web.archive.org/web/20201009021846/https://www.garda.com/crisis24/news-alerts/385031/botswana-authorities-extend-state-of-public-emergency-to-march-2021-update-14   ","botswana","restrictions on gatherings between 11-100 people"
"Central African Rep.","CAF",20200915,"C4: Restrictions on gatherings",3,"National","The Central African Republic U.K travel advice talks about restrictions on large gatherings. Source: http://web.archive.org/web/20200924122830/https://www.gov.uk/foreign-travel-advice/central-african-republic/coronavirus","central african rep.","restrictions on gatherings between 11-100 people"
"Canada","CAN",20200925,"C4: Restrictions on gatherings",4,"Regional","Restrictions in some provinces/territories remain at the level 4, as previous, hence 4T is maintained. ","canada","restrictions on gatherings of <= 10 people"
"Switzerland","CHE",20200929,"C4: Restrictions on gatherings",3,"Regional","Limit to 100 of the number of participants in private events in the Canton of Vaud.  http://web.archive.org/web/20201009023524/https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/covid-19-les-nouvelles-mesures-a-appliquer-a-partir-du-17-septembre-15h/   ","switzerland","restrictions on gatherings between 11-100 people"
"Chile","CHL",20200908,"C4: Restrictions on gatherings",3,"Regional","""All public events with more than 50 people are indefinitely prohibited.""     http://web.archive.org/web/20200921193338/https://www.gob.cl/coronavirus/plandeaccion/","chile","restrictions on gatherings between 11-100 people"
"China","CHN",20201004,"C4: Restrictions on gatherings",3,"Regional","Ruili ends its lock-down, entertainment venues are closed to avoid mass gathering. No specific provision is made regarding what size of a private gathering is allowed. But in a news report, it does mention that people started to gather immediately, and there were even fireworks. So it is reasonable to presume a small-scale private gathering is allowed.   http://web.archive.org/web/20200928213240/https://www.jiemian.com/article/5018819.html","china","restrictions on gatherings between 11-100 people"
"CÃ´te d'Ivoire","CIV",20201002,"C4: Restrictions on gatherings",2,"National","limit still at 200 people  https://web.archive.org/web/20201013092756/https://cgeci.com/covid-19-les-mesures-de-restriction-de-rassemblements-de-populations-initialement-plafonnees-a-50-personnes-passent-dorenavant-a-200-personnes-s-e-m-alassane-ouattara-pdt-de-la-republique-de-cot/","cã´te d'ivoire","restrictions on gatherings between 101-1000 people"
"Cameroon","CMR",20200922,"C4: Restrictions on gatherings",3,"National","Gatherings of over 50 people are prohibited. See https://cm.usembassy.gov/covid-19-information/ [web archive unavailable, accessed 1st October 2020]","cameroon","restrictions on gatherings between 11-100 people"
"Dem. Rep. Congo","COD",20200924,"C4: Restrictions on gatherings",0,NA,"No change in policy. Last government directive dates from 21 July 2020 informing of the opening up of DRC between 22 July and 15 August 2020.   http://web.archive.org/web/20200928161954/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","no restrictions"
"Congo","COG",20201002,"C4: Restrictions on gatherings",3,"National","Gatherings of more than 50 people are prohibited, with the exception of public markets. See: https://www.gov.uk/foreign-travel-advice/congo/-coronavirus [accessed 14 October 2020, unable to access web archive]","congo","restrictions on gatherings between 11-100 people"
"Colombia","COL",20200919,"C4: Restrictions on gatherings",3,"National","""Large gatherings (of over 50 people) are prohibited.""  http://web.archive.org/web/20200927082310/https://www.gov.uk/foreign-travel-advice/colombia/coronavirus","colombia","restrictions on gatherings between 11-100 people"
"Cape Verde","CPV",20200727,"C4: Restrictions on gatherings",4,"Regional","Updated code, same note. Same level of restrictions are in place as before:  Social distancing measures are in force in Cape Verde, and the wearing of non-surgical masks is mandatory in enclosed public spaces, such as supermarkets, schools, restaurants, and public transport. Over-65s and those with chronic medical conditions are required to wear surgical masks at all times when outside their homes. Public gatherings are banned except for religious ceremonies such as funerals, with the latter being restricted to 20 people in attendance. Restaurants, cafes, and bars have been limited to 50 percent capacity. The government has declared that it is a civic duty to remain at home and only go outside for essential purposes, such as shopping for essential items, to seek medical care, exercise, and to work if unable to do so from home.  https://web.archive.org/web/20200824221213/https://www.worldaware.com/covid-19-alert-cape-verde-announces-flights-resuming-june-30-further-easing-restrictions-through","cape verde","restrictions on gatherings of <= 10 people"
"Costa Rica","CRI",20200914,"C4: Restrictions on gatherings",3,"National","No policy changes found","costa rica","restrictions on gatherings between 11-100 people"
"Cuba","CUB",20201005,"C4: Restrictions on gatherings",4,"National","No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","restrictions on gatherings of <= 10 people"
"Cayman Islands","CYM",20200619,"C4: Restrictions on gatherings",3,"Regional","Gatherings on Grand Cayman and Cayman Brac are restricted to 50 persons (up from 25). No restrictions on Little Cayman.    https://web.archive.org/web/20200807142739/http://gazettes.gov.ky/portal/pls/portal/docs/1/12976499.PDF  https://web.archive.org/web/20200807143033/http://gazettes.gov.ky/portal/pls/portal/docs/1/12990519.PDF  https://web.archive.org/web/20200804084431/https://www.exploregov.ky/government-covid19-policies","cayman islands","restrictions on gatherings between 11-100 people"
"Cyprus","CYP",20201007,"C4: Restrictions on gatherings",3,"National","The Ministry of Health of Cyprus announces on 7 October that the validity of the  measures imposed in Larnaca District from 23 September 2020 is renewed until midnight, October 14.  As to gatherings,   'Individuals are permitted to attend gatherings in houses and public meeting areas, with the exception of catering places, not exceeding a  maximum number of 10 persons per house/group, including under age children.    Mass attendance and other forms of religious worship in churches, mosques and other religious places, as well as religious ceremonies, shall be performed with a maximum number of 75 persons, subject to the protocols in force for places of religious worship.    Cocktail parties and well-wishing at weddings and christenings is prohibited. Physical presence is only allowed at lunch or dinner, with a maximum number of 350 attending persons'    https://archive.vn/Mawmw","cyprus","restrictions on gatherings between 11-100 people"
"Czech Republic","CZE",20201005,"C4: Restrictions on gatherings",4,"National","""mass events indoors up to 10 participants  mass outdoor events for up to 20 participants""    http://web.archive.org/web/20201008121940/https://koronavirus.mzcr.cz/aktualni-opatreni/","czech republic","restrictions on gatherings of <= 10 people"
"Germany","DEU",20200929,"C4: Restrictions on gatherings",4,"Regional","New regulations announced on the 29th of September, create clear guidelines for when gatherings in an area might be required to be diminished, based on the severity of cases in a region. This is based on how high out of 100'000 the cases are over a 7 day period. This includes a recommendation not to have gatherings inside of over 10 people in the case of higher infections in ones area.   https://web.archive.org/web/20201005220735/https://www.bundesregierung.de/breg-de/themen/coronavirus/corona-massnahmen-1734724","germany","restrictions on gatherings of <= 10 people"
"Djibouti","DJI",20200809,"C4: Restrictions on gatherings",4,"National","No policy change found. Since 10 May, a presidential decree has banned gatherings of more than 10 people. Therefore this policy should be coded as 4G (Gatherings of 10 people or less are permitted countrywide).    Source:   UN Djibouti, ""COVID-19 Situation Report #7 - 10 MAY""  https://web.archive.org/web/20200522101134/https://reliefweb.int/sites/reliefweb.int/files/resources/Djibouti%20COVID19%20Sitrep%207.pdf","djibouti","restrictions on gatherings of <= 10 people"
"Dominica","DMA",20200918,"C4: Restrictions on gatherings",2,"National","Maximum 250 people     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica","dominica","restrictions on gatherings between 101-1000 people"
"Denmark","DNK",20200919,"C4: Restrictions on gatherings",3,"National","In the context of rising numbers of Covid-19 in Denmark, the government announced increased restrictions nationally. The maximum number of people who can gather is reduced from 100 people to 50 people (for all of Denmark) as of 19 September 2020. This is regardless whether it is an outdoor or indoor event. Note that it will still be possible to host and attend  events etc. with up to 500 participants if the participants are mainly seated. However, the exception of allowing more than 500 people to attend Super League football matches or indoor or outdoor sports events will no longer apply (the maximum is now set at 500). There is also now a requirement to display signs stating the maximum number of customers, visitors or participants allowed at premises. Owners of restaurants, bars, cafes and similar establishments are encouraged to introduce voluntary registration of the contact data of guests and to hand over the data to the health authorities for the purpose of tracing outbreaks. It is no longer allowed to consume alcohol on coaches and buses operated under the Danish Coach and Bus. Weddings, confirmations and similar special occasion days that have already been scheduled can be held if it is possible to follow the advice of the Danish Health Authority set out in ‘Private events, parties and celebrations during the period of COVID-19’, but the event ought to end at 10.00 pm at the latest. Citizens are recommended to hold other events, parties and celebrations at private homes only for close family members and friends.  These measures will apply in Denmark until at least 4 October 2020.    http://web.archive.org/web/20200921180900/https://politi.dk/en/-/media/mediefiler/corona/engelsk/outbreak-control-measures.pdf?la=en&hash=E082FB214E3BC7E3F56FD65411BFF68296CC2F23","denmark","restrictions on gatherings between 11-100 people"
"Dominican Republic","DOM",20200612,"C4: Restrictions on gatherings",3,"National","The current state of emergency will end on June 30 and the government has decided not to extend it. Until then, no changes have been introduced with only one exception related to the night curfew (coded in C6).    Source: https://web.archive.org/web/20200629203706/https://www.infobae.com/america/agencias/2020/06/28/republica-dominicana-levanta-toque-de-queda-nocturno-por-covid-19/","dominican republic","restrictions on gatherings between 11-100 people"
"Algeria","DZA",20200922,"C4: Restrictions on gatherings",4,"National","Restrictions still in place. According to the UK Foreign Office: ""There is a nationwide ban on family gatherings of any kind, including marriages.""   https://web.archive.org/web/20201001183658/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","restrictions on gatherings of <= 10 people"
"Ecuador","ECU",20201005,"C4: Restrictions on gatherings",3,"Regional","Ecuador's Ministry of Public Health reminds viewers that groups in closed areas should not exceed 10, and that face masks should be worn properly -- aka covering the mouth and nose completely.     Link:   https://web.archive.org/web/20201005210547/https://twitter.com/Salud_Ec/status/1313090652549324800","ecuador","restrictions on gatherings between 11-100 people"
"Egypt","EGY",20200722,"C4: Restrictions on gatherings",1,"National","Egyptian Prime Minister Mostafa Madbouli announced on 22 July that Eid Al Adha prayers will follow the same regulations taken when holding Eid El Iftar prayers back in May.  Also, official conferences and meetings will be permitted as long as the participants' number does not exceed 50 individuals in halls that can take not less than 100. This measure will come into effect on 26 July.    http://web.archive.org/web/20200723100808/https://www.egypttoday.com/Article/1/90006/Egypt%E2%80%99s-government-issues-new-decisions-to-%E2%80%9Ccoexist%E2%80%9D-with-COVID-19","egypt","restrictions on gatherings > 1000 people"
"Eritrea","ERI",20200929,"C4: Restrictions on gatherings",3,"National","Limitation on Size of Gatherings  All gatherings of over 10 people are prohibited without a government permit.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","restrictions on gatherings between 11-100 people"
"Spain","ESP",20201009,"C4: Restrictions on gatherings",4,"Regional","The Ministry of Health (Ministerio de Sanidad) declares a State of Emergency (Estado de Alarma) for nine municipalities: Alcobendas, Madrid, Alcorcon, Fuenlabrada, Getafe, Leganes, Mostoles, Parla, y Torrejon de Ardoz. NO new containment or closure measures are implemented.    Link:  https://web.archive.org/web/20201011194512/https://twitter.com/sanidadgob/status/1314559307019681792","spain","restrictions on gatherings of <= 10 people"
"Estonia","EST",20200928,"C4: Restrictions on gatherings",1,"National","no changes reported.","estonia","restrictions on gatherings > 1000 people"
"Ethiopia","ETH",20200831,"C4: Restrictions on gatherings",4,"National","Measure still remains in place. All gatherings, except for funerals, are limited four people. See: https://et.usembassy.gov/covid-19-information/ (web archive not working, accessed 10th September)","ethiopia","restrictions on gatherings of <= 10 people"
"Finland","FIN",20201001,"C4: Restrictions on gatherings",0,NA,"As of 1 October 2020, all indoor and outdoor events would be permitted without restrictions on the number of attendees.  Therefore this seems that there is no upper limit on private gatherings either.    Link: http://web.archive.org/web/20200716015804/https://valtioneuvosto.fi/-/10616/hallitus-linjasi-lievennyksista-kokoontumisrajoituksiin-ravitsemisliikkeiden-toimintaan-ja-vierailukaytantoihin-1?languageId=en_US ","finland","no restrictions"
"Fiji","FJI",20201012,"C4: Restrictions on gatherings",2,"National","The guidance from the MINISTRY OF COMMERCE, TRADE, TOURISM & TRANSPORT website provides a PDF link to the Covid-19 Risk Mitigation Taskforce.  This has not been updated since 25th August and is assumed to still be in place.  In this document, the rule on gatherings is not defined in terms of numbers of people, but capacity of venue, requiring that the numbers should be limited to 50% of the venue capacity.  The code has been left as 2G, whilst recognising that if a venue had a capacity of >2000, a gathering of >1000 would be possible according to this policy.  ""So, if a venue has a capacity for 500 people, it can now host up to 250 people. However, if a venue capacity is less than 200, it can continue to host events with 100 people or less.  This applies to both indoor and outdoor facilities.""  http://archive.today/2020.10.12-103926/http://www.health.gov.fj/statement-by-ps-health-on-border-case-and-covid-safe-amendments/","fiji","restrictions on gatherings between 101-1000 people"
"France","FRA",20200928,"C4: Restrictions on gatherings",4,"Regional","Gatherings are still limited to 10 people in critical zones  https://web.archive.org/web/20201009023349/https://www.gouvernement.fr/en/coronavirus-covid-19","france","restrictions on gatherings of <= 10 people"
"Gabon","GAB",20200915,"C4: Restrictions on gatherings",4,"National","Gatherings of more than 10 people are banned. https://web.archive.org/web/20200923071721/https://www.gov.uk/foreign-travel-advice/gabon/coronavirus","gabon","restrictions on gatherings of <= 10 people"
"United Kingdom","GBR",20201002,"C4: Restrictions on gatherings",4,"National","As of October 2nd, previous restrictions still in place as the source below proves. The only exception is the ability to gather in groups of up to 30 outside in Wales.   As per the entry of Sep 14 (It should be noted, however, that technically not ALL private gatherings are reduced to a level 4 due to Wales allowing outdoor gatherings of slightly bigger groups. On rainy days, of which Wales has a considerable amount, outdoor gatherings outside of someones gardens (for which the rule of six applies even outside) are somewhat unlikely and a coding of 4 is therefore appropriate.), such an exception is still considered 4G in my opinion, although a case for 4T (excluding Wales) also exists. https://web.archive.org/web/20201004214002/https://www.bbc.com/news/uk-51506729","united kingdom","restrictions on gatherings of <= 10 people"
"Georgia","GEO",20201001,"C4: Restrictions on gatherings",2,"National","""Culture and sport events are limited to 200. There is no limit for political or election-related activities.""  http://web.archive.org/web/20201008125704/https://www.gov.uk/foreign-travel-advice/georgia/coronavirus","georgia","restrictions on gatherings between 101-1000 people"
"Ghana","GHA",20200920,"C4: Restrictions on gatherings",3,"National","Training in all contact sports was resumed on 20 September (?). 'All sports people, who are camped, are to be tested regularly.'    https://archive.vn/JrOSE","ghana","restrictions on gatherings between 11-100 people"
"Gibraltar","GIB",20200629,"C4: Restrictions on gatherings",3,"National","Restrictions on gatherings reduced to 20 persons (was 12), as part of phase 5 of 'unlock the rock'    https://web.archive.org/web/20200830065419/https://www.theolivepress.es/spain-news/2020/06/29/gibraltar-enters-phase-5-of-rock-unlock-after-nearly-two-weeks-of-zero-covid-19-cases/","gibraltar","restrictions on gatherings between 11-100 people"
"Guinea","GIN",20201001,"C4: Restrictions on gatherings",2,"National","I could not find any evidence of a number of people, but given the fact that I saw plenty of pictures on the govt facebook pages of events with more than 100 attendees, and given that the President does not want big groups gathering to demonstrate before the 18 oct elections, I would place that number between 100 and 1000 people:  https://web.archive.org/web/20201014020158/https://www.dw.com/fr/guin%C3%A9e-d%C3%A9but-de-la-campagne-et-interdiction-de-manifester/a-54982250","guinea","restrictions on gatherings between 101-1000 people"
"Gambia","GMB",20200929,"C4: Restrictions on gatherings",4,"National","Public gatherings, including for naming ceremonies, weddings, and other social events, are prohibited  Source: http://web.archive.org/web/20201007123755/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/","gambia","restrictions on gatherings of <= 10 people"
"Greece","GRC",20200929,"C4: Restrictions on gatherings",4,"Regional","""Local restrictions are in place in the regions of Attica, which includes the islands of Angistri, Aegina, Hydra, Kythira, Poros, Salamis and Spetses. These include:  Strong recommendation for the use of face masks by everyone in all outdoor spaces; limits on the capacity of public markets, and outdoor cinema and theatre screenings ;  A maximum limit of 20 people are allowed to attend weddings, christenings or funerals;  A ban on the holding of any concerts, and on indoor cinema and theatre screenings;  A ban on gatherings of more than 9 people, either indoors or outdoors;""  http://web.archive.org/web/20201011054526/https://www.gov.uk/foreign-travel-advice/greece/coronavirus","greece","restrictions on gatherings of <= 10 people"
"Greenland","GRL",20200731,"C4: Restrictions on gatherings",2,"National","The Naalakkersuisut has made some adjustments to the executive order regarding temporary restrictions at assemblies, etc. and extended it until 31 January 2021.  The number limits still apply.  A maximum of 100 people for an indoor event, provided that the rules on occupancy in the room itself of a maximum of 50% of what is allowed are also complied with. For outdoor events, there can be a maximum of 250 people.  The ban on participation from other municipalities for events also includes participation from other countries now.    https://web.archive.org/save/https://naalakkersuisut.gl/da/Naalakkersuisut/Nyheder/2020/07/310720-Midlertidige-restriktioner-ved-forsamlinger-mv-forlaenges  ","greenland","restrictions on gatherings between 101-1000 people"
"Guatemala","GTM",20201006,"C4: Restrictions on gatherings",4,"Regional","No change in policy: https://web.archive.org/web/20201005025928/https://www.mspas.gob.gt/noticias/noticias-ultimas/5-noticias-mspas/1080-covid-19-mspas-emite-normas-para-funcionamiento-de-universidades-y-centros-de-capacitaci%C3%B3n-t%C3%A9cnica.html","guatemala","restrictions on gatherings of <= 10 people"
"Guam","GUM",20200910,"C4: Restrictions on gatherings",4,"National","The governor’s stay-at-home order, which is now set to expire at noon on Sept. 25  https://web.archive.org/web/20200921071844/https://www.stripes.com/news/pacific/stay-at-home-order-is-extended-on-guam-as-island-records-its-30th-coronavirus-death-1.645397","guam","restrictions on gatherings of <= 10 people"
"Guyana","GUY",20201001,"C4: Restrictions on gatherings",4,"Regional","On the 30th of September the Government of Guyana released the Covid Emergency Measures No.10 to  be effective from 1st October to 31st October, 2020. No change.  http://web.archive.org/web/20201001040713/https://officialgazette.gov.gy/images/gazette2020/sept/Extra_30SEPTEMBER2020COViD19_10.pdf ","guyana","restrictions on gatherings of <= 10 people"
