"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Aruba","ABW",20200918,"C4: Restrictions on gatherings",4,"Regional","Starting September 18, 2020, family parties at home are not permitted.  https://web.archive.org/web/20201010005321/https://www.government.aw/news/news_47033/item/crisis-measures-by-the-government-of-aruba-in-connection-with-coronavirus-covid-19_48509.html","aruba","restrictions on gatherings of <= 10 people"
"Afghanistan","AFG",20200826,"C4: Restrictions on gatherings",0,NA,"""Pent-up demand means reopened wedding halls are now fully booked every night. That means gatherings that can pack with thousands of people into a hall, presenting a significant risk of transmission of the virus.""  https://web.archive.org/web/20200904185814/https://www.ctvnews.ca/health/coronavirus/afghans-return-to-games-parks-weddings-despite-virus-fears-1.5090624","afghanistan","no restrictions"
"Angola","AGO",20200916,"C4: Restrictions on gatherings",4,"National","According to the US embassy website, groups exercising together are limited to no more than five people.  http://web.archive.org/web/20200927024309/https://ao.usembassy.gov/covid-19-information/     ","angola","restrictions on gatherings of <= 10 people"
"Albania","ALB",20200923,"C4: Restrictions on gatherings",4,"National","No change.","albania","restrictions on gatherings of <= 10 people"
"Andorra","AND",20200921,"C4: Restrictions on gatherings",4,"National","""On September 18, ""The Minister of Health, Joan Martínez Benazet, has presented the Decree approved today by the Government in relation to the health emergency situation due to the SARS-CoV-2 coronavirus and which will enter into force on Monday 21 September. Martínez Benazet has advanced that the new text will limit family groups and also social activities to a maximum of 10 people, given the importance of reducing social interaction and not leaving cohabiting nuclei. In leisure, cultural and sports activities, the limit is maintained at 50 people and, when this figure is exceeded, it will continue with the activation of specific protocols.""    Source: http://web.archive.org/web/20200927103231/https://www.govern.ad/comunicats/item/11886-les-autoritats-sanitaries-demanen-reduir-la-interaccio-social (official press release)","andorra","restrictions on gatherings of <= 10 people"
"United Arab Emirates","ARE",20201003,"C4: Restrictions on gatherings",4,"National","No policy change. Gatherings are still restricted to 10.","united arab emirates","restrictions on gatherings of <= 10 people"
"Argentina","ARG",20200910,"C4: Restrictions on gatherings",4,"National","The new measures maintain the restriction of up to 10 people gathered in outdoor public spaces.    http://web.archive.org/web/20200921204618/https://www.infobae.com/politica/2020/09/20/los-detalles-del-nuevo-decreto-del-gobierno-que-extiende-la-cuarentena-hasta-el-11-de-octubre/","argentina","restrictions on gatherings of <= 10 people"
"Australia","AUS",20200928,"C4: Restrictions on gatherings",4,"Regional","Victoria - Proposed changes for Monday include a staged return to school for some students and an allowance for outdoor gatherings of five people from two households.  https://web.archive.org/web/20200928121411/https://www.theguardian.com/world/2020/sep/26/victoria-records-one-death-and-12-new-cases-as-covid-19-numbers-continue-to-drop","australia","restrictions on gatherings of <= 10 people"
"Austria","AUT",20200929,"C4: Restrictions on gatherings",3,"National","""Events  Events include, in particular, planned get-togethers and activities for entertainment, amusement, physical and mental training and edification. In any case, this includes cultural events, sporting events, weddings, film screenings, exhibitions, vernissages, congresses, training courses and further education.    For events without assigned and marked seats (e.g. standing events), the maximum number of people in closed rooms is currently 10 people. Funerals are excluded from this person restriction. There is a maximum of 500 people for funerals.  For events without assigned and marked seats (such as standing events) outdoors, a maximum number of 100 people currently applies.  For professional events with assigned and marked seats, the maximum number of people in closed rooms is 1500.  For professional events with assigned and marked seats, the maximum number of people in the open air is 3000.  The following applies:    The 1 meter minimum distance must be observed (people who live in the same household are exempt from this) and an MNS must also be worn in closed rooms (MNS also applies outdoors at markets and trade fairs)  The catering rules apply to catering establishments  At events with assigned and marked seats, the mouth and nose protection is not required when sitting if the 1 meter distance is maintained or another suitable protective device is available for spatial separation that guarantees the same level of protection  Outdoor events with over 100 people and indoor events with over 50 people must appoint a COVID-19 officer and develop and implement a corresponding COVID-19 prevention concept  The event restrictions also apply to indoor social activities in groups  The people necessary for the implementation of the event are excluded from the maximum number of people (e.g. performers, orchestra)  In general, the limits do not apply to the professional area (including professionally practiced sports, music, etc.)""  https://web.archive.org/web/20201008005332/https://corona-ampel.gv.at/aktuelle-massnahmen/bundesweite-massnahmen/","austria","restrictions on gatherings between 11-100 people"
"Azerbaijan","AZE",20200929,"C4: Restrictions on gatherings",4,"Regional","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/ ","azerbaijan","restrictions on gatherings of <= 10 people"
"Burundi","BDI",20200922,"C4: Restrictions on gatherings",0,NA,"No policy change found","burundi","no restrictions"
"Belgium","BEL",20201009,"C4: Restrictions on gatherings",4,"National","The government announced the implementation of new restrictions from October 9th to November 9th because of a rise in cases:     ""Private gatherings at home: no more than four people, while complying with social distancing rules or, if that is not possible, while wearing a mask.""    ""Gatherings not organised outdoors: no more than four people, except for people living under the same roof.""    https://web.archive.org/web/20201010012518/https://www.belgium.be/en/news/2020/consultation_committee_decides_stricter_measures_and_appoints_covid_19_commissioner","belgium","restrictions on gatherings of <= 10 people"
"Benin","BEN",20200915,"C4: Restrictions on gatherings",3,"National","'Gatherings of over 50 people are prohibited. Restrictions on bars, restaurants and entertainment spots have been lifted.'  https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/benin/coronavirus","benin","restrictions on gatherings between 11-100 people"
"Burkina Faso","BFA",20200731,"C4: Restrictions on gatherings",3,"National","No new policy has been identified so it is assumed that previous policy is continued.","burkina faso","restrictions on gatherings between 11-100 people"
"Bangladesh","BGD",20200804,"C4: Restrictions on gatherings",4,"Regional","On the 4th August 2020, the Bangladeshi government announced that it would be extending domestic restrictions to control the spread of COVID-19. The provisional deadline for the extension is the 31st August. This included the banning of large gatherings. This is in addition to the continuing colour-coded classification system, wherein stricter regulations were imposed on areas of high COVID-19 levels within Bangladesh. In some cases this includes restrictions on private gatherings of fewer than 10 people.   Link: https://web.archive.org/web/20200807090705/https://www.worldaware.com/covid-19-alert-bangladesh-extends-modified-domestic-restrictions-through-aug-31","bangladesh","restrictions on gatherings of <= 10 people"
