"CountryName","public_transport-CountryCode","public_transport-Date","Public Transport","public_transport-PolicyValue","public_transport-Flag","public_transport-Notes","public_transport-region","public_transport-value"
"Brazil","BRA",20200914,"C5: Close public transport",2,"Regional","Inter-municipal transportation remains suspended in 114 cities in Bahia.    Link:  https://web.archive.org/web/20200915021721/https://g1.globo.com/ba/bahia/noticia/2020/09/14/covid-19-governo-da-bahia-libera-transporte-intermunicipal-em-303-cidades-114-seguem-com-atividade-suspensa.ghtml  ","brazil","require closing"
"Barbados","BRB",20200821,"C5: Close public transport",1,"National","The Transport Authority published guidelines for Transport Operators. In it, it states that buses should be filled to no more than 50% capacity with no standing passengers. Taxis should limit the number of passengers transport at each trip. See government guidelines, archived: https://web.archive.org/web/20200920124506/https://ta.gov.bb/News/Latest/COVID-19-Guidance-for-Business-Pla.aspx","barbados","recommend closing/ significantly reduce volume"
"Brunei","BRN",20200817,"C5: Close public transport",0,NA,"Starting 17th August 2020, buses and water taxis can run at full capacity. Passengers must wear face masks on buses and scan the BruHealth QR code before boarding. Only passengers with green and yellow BruHealth codes can get on the bus.  https://web.archive.org/web/20200817154003/https://thescoop.co/2020/08/13/govt-announces-further-easing-of-covid-19-curbs/","brunei","no measures"
"Bhutan","BTN",20201012,"C5: Close public transport",1,"National","https://web.archive.org/web/20201012213728/https://www.gov.bt/covid19/08-10-20-revised-travel-advisory-moh/","bhutan","recommend closing/ significantly reduce volume"
"Botswana","BWA",20201008,"C5: Close public transport",0,NA,"Buses and vans operate at full capacity.  http://web.archive.org/web/20201009015725/https://bw.usembassy.gov/covid-19-information/   ","botswana","no measures"
"Central African Rep.","CAF",20200915,"C5: Close public transport",0,NA,"Is public transportation operating? Yes. Source: http://web.archive.org/web/20200924082423/https://cf.usembassy.gov/covid-19-information/","central african rep.","no measures"
"Canada","CAN",20200917,"C5: Close public transport",0,NA,"No change in policy found. ","canada","no measures"
"Switzerland","CHE",20200706,"C5: Close public transport",0,NA,"""In view of the increasing volume of people travelling and the rising number of new infections since mid-June, the Federal Council has decided to make masks compulsory on public transport throughout the country from Monday, 6 July 2020. ""    (from http://web.archive.org/web/20200629235323/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html)","switzerland","no measures"
"Chile","CHL",20200908,"C5: Close public transport",2,"Regional","No change in policy found, transport running with limited hours and restrictions.     http://web.archive.org/web/20200921193338/https://www.gob.cl/coronavirus/plandeaccion/ ","chile","require closing"
"China","CHN",20200923,"C5: Close public transport",0,NA,"Ruili recovers all the public transport from 23 September.   https://web.archive.org/web/20200928215924/https://www.thepaper.cn/newsDetail_forward_9291080_1","china","no measures"
"CÃ´te d'Ivoire","CIV",20201002,"C5: Close public transport",0,NA,"Although masks are mandatory in Abidjan  https://web.archive.org/web/20201013090836/https://cgeci.com/transport-le-port-du-masque-a-bord-dun-vehicule-est-obligatoire-pour-le-conducteur-et-les-passagers-jusqua-destination-ministere/","cã´te d'ivoire","no measures"
"Cameroon","CMR",20200922,"C5: Close public transport",1,"National","Note: Mask wearing is mandatory on all public transportation. See https://cm.usembassy.gov/covid-19-information/ [web archive unavailable, accessed 1st October 2020]","cameroon","recommend closing/ significantly reduce volume"
"Dem. Rep. Congo","COD",20200924,"C5: Close public transport",1,"Regional","No change in policy. Last government directive dates from 21 July 2020 informing of the opening up of DRC between 22 July and 15 August 2020.   http://web.archive.org/web/20200928161954/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","recommend closing/ significantly reduce volume"
"Congo","COG",20200825,"C5: Close public transport",0,NA,"As of 10 September, public transport in Congo is still operating according to the US Embassy.    http://web.archive.org/web/20200911002007/https://cg.usembassy.gov/covid-19-information/","congo","no measures"
"Colombia","COL",20200919,"C5: Close public transport",0,NA,"""in some jurisdictions such as Bogota the number of passengers permitted on buses is limited to increase distancing. ""  http://web.archive.org/web/20200927082921/https://co.usembassy.gov/covid-19-information/","colombia","no measures"
"Cape Verde","CPV",20200910,"C5: Close public transport",0,NA,"“Is public transportation operating? Yes” https://web.archive.org/web/20200919065659/https://cv.usembassy.gov/covid-19-information/","cape verde","no measures"
"Costa Rica","CRI",20200828,"C5: Close public transport",0,NA,"There are still no restrictions for intercity or interstate travel; however, nationwide driving restrictions based on license plate number are in effect.    http://web.archive.org/web/20200914225148/https://cr.usembassy.gov/es/covid-19-coronavirus-informacion/","costa rica","no measures"
"Cuba","CUB",20201005,"C5: Close public transport",1,"Regional","No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","recommend closing/ significantly reduce volume"
"Cayman Islands","CYM",20200619,"C5: Close public transport",0,NA,"Public transport permitted to reopen, with restrictions on capacity.    https://web.archive.org/web/20200807142739/http://gazettes.gov.ky/portal/pls/portal/docs/1/12976499.PDF","cayman islands","no measures"
"Cyprus","CYP",20200609,"C5: Close public transport",1,"National","Following a decision by the Ministry of Transport, Communications and Works, as of 9 June, public transport (Cyprus only has buses and taxis) can ride with 100% fully capacity inside the buses. Since March the buses were only allowed to carry maximum 30% capacity (increased to 50% in May). The wearing of masks is obligatory.    http://web.archive.org/web/20200709114147/https://www.intercity-buses.com/?wp=news-details&id=1C88B7DCABFD13B13AE1D1FBDA910967&id=1C88B7DCABFD13B13AE1D1FBDA910967","cyprus","recommend closing/ significantly reduce volume"
"Czech Republic","CZE",20201005,"C5: Close public transport",0,NA,"No change in policy.","czech republic","no measures"
"Germany","DEU",20200427,"C5: Close public transport",0,NA,"Still no actual measures are in place, it is just a decrease in demand","germany","no measures"
"Djibouti","DJI",20200517,"C5: Close public transport",0,NA,"As of 17 May, urban public transport vehicles (buses, minibuses, tricycles and taxis) will be authorized to resume their activity  https://web.archive.org/web/20200604203136/https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-7-10-may-2020","djibouti","no measures"
"Dominica","DMA",20200918,"C5: Close public transport",0,NA,"""You will be required to wear a face mask at all times on public transport in Dominica""     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica","dominica","no measures"
"Denmark","DNK",20200919,"C5: Close public transport",1,"National","In the context of rising numbers of Covid-19 in Denmark, the government announced increased restrictions nationally. Citizens are encouraged to travel outside rush hours and to walk or take the bike when travelling short distances.  These measures will apply in Denmark until at least 4 October 2020.    http://web.archive.org/web/20200921180900/https://politi.dk/en/-/media/mediefiler/corona/engelsk/outbreak-control-measures.pdf?la=en&hash=E082FB214E3BC7E3F56FD65411BFF68296CC2F23","denmark","recommend closing/ significantly reduce volume"
"Dominican Republic","DOM",20200912,"C5: Close public transport",1,"National","The Dominican authorities particularly encourage those over 60 years old or with underlying health conditions to stay at home except for essential trips. See: https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus [web archive unavailable, accessed 24th September 2020]","dominican republic","recommend closing/ significantly reduce volume"
"Algeria","DZA",20200808,"C5: Close public transport",2,"Regional","""The governor of Algiers prohibited all public transportation on Fridays and Saturdays until further notice.  Public transportation (and depending on the province, private transportation) may be suspended in the other 28 provinces affected by a curfew on Fridays and Saturdays.""    Source: http://web.archive.org/web/20200816105319/https://dz.usembassy.gov/covid-19-information/","algeria","require closing"
"Ecuador","ECU",20200926,"C5: Close public transport",0,NA,"The Secretary of Quito's Department of Health reminds riders to practice social distancing and to minimize conversations while on public transit to reduce risk of COVID-19 transmission.     Link:  https://web.archive.org/web/20200916181137/https://twitter.com/saludquito/status/1306294643366268931","ecuador","no measures"
"Egypt","EGY",20200902,"C5: Close public transport",1,"National","No change. There are currently restrictions on public transportation operating from midnight until 4am. https://web.archive.org/web/20200912072844/https://www.gov.uk/foreign-travel-advice/egypt/coronavirus","egypt","recommend closing/ significantly reduce volume"
"Eritrea","ERI",20200929,"C5: Close public transport",2,"National","Public Transportation  Public Transportation has stopped services until further notice and most private cars are banned from the road. Urgent travel by car requires a permit.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","require closing"
"Spain","ESP",20200901,"C5: Close public transport",0,NA,"No change in policy found ","spain","no measures"
"Estonia","EST",20200928,"C5: Close public transport",0,NA,"public transport remains open.   https://ee.usembassy.gov/covid-19-information/","estonia","no measures"
"Ethiopia","ETH",20200831,"C5: Close public transport",2,"Regional","Public transportation is operating, but this varies by region. Passenger limits on buses, taxis, etc. exist but vary by region. In general, the number of people permitted in public transportation is 50% of normal capacity. See: https://et.usembassy.gov/covid-19-information/ (web archive not working, accessed 10th September)","ethiopia","require closing"
"Finland","FIN",20200929,"C5: Close public transport",0,NA,"No change. http://web.archive.org/web/20201010152854/https://fi.usembassy.gov/covid-19-information/","finland","no measures"
"Fiji","FJI",20200717,"C5: Close public transport",0,NA,"Public transport continues, however users are advised to socially distance. https://web.archive.org/web/20200727224748/https://www.gov.uk/foreign-travel-advice/fiji/coronavirus","fiji","no measures"
"France","FRA",20200810,"C5: Close public transport",0,NA,"Nothing has changed with this policy.  https://web.archive.org/web/20200701055822/https://www.gouvernement.fr/en/coronavirus-covid-19","france","no measures"
"Gabon","GAB",20200924,"C5: Close public transport",1,"National","Taxis in Gabon are only permitted to carry up to three passengers.  (Cannot find out from which day this rule came into effect, but very likely is after  15 September, because the archived webpage of gov.uk's travel advice on Gabon contains no information about taxis)    https://archive.vn/nTsUP","gabon","recommend closing/ significantly reduce volume"
"United Kingdom","GBR",20200925,"C5: Close public transport",1,"National","Government guidance still recommends to avoid public transport if other methods of transportation are available (""You can help control coronavirus and travel safely by walking and cycling, if you can.""). Although car transport and public transit are both seen as equal options in those cases, making a case for a downgrade to 1T/0. 1G maintained, though further review is recommended.  https://web.archive.org/web/20201004094514/https://www.gov.uk/guidance/coronavirus-covid-19-safer-travel-guidance-for-passengers","united kingdom","recommend closing/ significantly reduce volume"
"Georgia","GEO",20201001,"C5: Close public transport",0,NA,"""Public transport is functioning normally. Taxis can hold no more than three people in a single vehicle, including the driver, with passengers sitting in the rear. If travelling to Tbilisi airport by taxi this social distancing rule must still be observed. Face masks must be worn in all public transport and taxis.""  http://web.archive.org/web/20201008125704/https://www.gov.uk/foreign-travel-advice/georgia/coronavirus    http://web.archive.org/web/20201008125704/https://www.gov.uk/foreign-travel-advice/georgia/coronavirus","georgia","no measures"
"Ghana","GHA",20200803,"C5: Close public transport",0,NA,"On 26 July, the President announced that public transport systems have permission to operate at full capacity https://web.archive.org/web/20200812014307/https://www.gov.uk/foreign-travel-advice/ghana/coronavirus","ghana","no measures"
"Gibraltar","GIB",20200813,"C5: Close public transport",0,NA,"No measures in place.","gibraltar","no measures"
"Guinea","GIN",20201001,"C5: Close public transport",0,NA,"No new policy found beside a hike in the costs of public transport","guinea","no measures"
"Gambia","GMB",20200929,"C5: Close public transport",1,"National","Is public transportation operating? Yes   Public transportation is operating, though capacity limitations are in place and passengers must wear face coverings.  Source: http://web.archive.org/web/20201007123755/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/","gambia","recommend closing/ significantly reduce volume"
"Greece","GRC",20200929,"C5: Close public transport",1,"Regional","""Local restrictions are in place in the regions of Attica, which includes the islands of Angistri, Aegina, Hydra, Kythira, Poros, Salamis and Spetses. These include:  Strong recommendation for anyone aged 65 and over to self-isolate for the next 14 days, whilst limiting their movement to only what is absolutely necessary, avoiding contact with anyone other than members of their immediate family and avoiding use of public transport;""  http://web.archive.org/web/20201011054526/https://www.gov.uk/foreign-travel-advice/greece/coronavirus","greece","recommend closing/ significantly reduce volume"
"Greenland","GRL",20200709,"C5: Close public transport",0,NA,"Buses/transports continue to run with no limits, but may only carry a maximum of passengers as there are seats to support social distancing:  http://archive.fo/tkZEq","greenland","no measures"
"Guatemala","GTM",20201006,"C5: Close public transport",1,"National","No change in policy: No change in policy: https://web.archive.org/web/20201005025928/https://www.mspas.gob.gt/noticias/noticias-ultimas/5-noticias-mspas/1080-covid-19-mspas-emite-normas-para-funcionamiento-de-universidades-y-centros-de-capacitaci%C3%B3n-t%C3%A9cnica.html","guatemala","recommend closing/ significantly reduce volume"
"Guam","GUM",20200910,"C5: Close public transport",0,NA,"  To prevent the spread of Covid -19 virus with an overabundance of caution, we ask our riders to practice the proper precautions as per the directive by the Governor's Office, Office of Homeland Security, Dept of Public Health & Social Services to practice social distancing by limiting your social contact to emergency and essential purposes only.    https://web.archive.org/web/20200523105523/https://grta.guam.gov/","guam","no measures"
"Guyana","GUY",20201001,"C5: Close public transport",1,"National","On the 30th of September the Government of Guyana released the Covid Emergency Measures No.10 to  be effective from 1st October to 31st October, 2020. No change.  http://web.archive.org/web/20201001040713/https://officialgazette.gov.gy/images/gazette2020/sept/Extra_30SEPTEMBER2020COViD19_10.pdf ","guyana","recommend closing/ significantly reduce volume"
"Hong Kong","HKG",20200825,"C5: Close public transport",0,NA,"Public transportation is operation but it is mandatory to wear masks.    Source: http://web.archive.org/web/20200916132530/https://hk.usconsulate.gov/covid-19-information/","hong kong","no measures"
"Honduras","HND",20201002,"C5: Close public transport",2,"National","No policy change","honduras","require closing"
"Croatia","HRV",20200907,"C5: Close public transport",0,NA,"Public transport is open - US Embassy in Croatia as of 14th Sept 2020    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/  ","croatia","no measures"
"Haiti","HTI",20200921,"C5: Close public transport",0,NA,"No new update","haiti","no measures"
"Hungary","HUN",20201001,"C5: Close public transport",0,NA,"No change.","hungary","no measures"
"Indonesia","IDN",20200928,"C5: Close public transport",1,"Regional","On the 24th of September, The Provincial Government (Pemprov) of DKI Jakarta has again extended the Large-Scale Social Restrictions (PSBB) in Jakarta because there is still a potential for an increase in the number of positive cases of COVID-19 if the easing is implemented from 28th September until 11October 2020  http://web.archive.org/web/20200929070848/https://jakarta.go.id/artikel/konten/6914/tekan-kenaikan-kasus-covid-19-pemprov-dki-perpanjang-psbb-di-jakarta","indonesia","recommend closing/ significantly reduce volume"
"India","IND",20200826,"C5: Close public transport",1,"National","“Limited train services have resumed.” “Limited inter-state movements of passenger vehicles and buses is now permitted this will vary from state to state within India.” Source: https://web.archive.org/web/20200905142508/https://www.gov.uk/foreign-travel-advice/india/coronavirus  Metro rail remains closed, but “will be allowed to operate with effect from 7th September 2020 in a graded manner, by the Ministry of Housing and Urban Affairs (MOHUA)/ Ministry of Railways (MOR), in consultation with MHA. In this regard, SOP will be issued by MOHUA.” Source: http://web.archive.org/web/20200903144355/https://cdnbbsr.s3waas.gov.in/s3850af92f8d9903e7a4e0559a98ecc857/uploads/2020/08/2020082958.pdf","india","recommend closing/ significantly reduce volume"
"Ireland","IRL",20201002,"C5: Close public transport",1,"Regional","Operates at 50% capacity in level 3 restritions   https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/","ireland","recommend closing/ significantly reduce volume"
"Iran","IRN",20201006,"C5: Close public transport",0,NA,"No new news on transportation. As of September 26 article masks and hand santizer are offered on buses. Less people are taking transportation. /web/20201014014338/https://financialtribune.com/articles/people/105465/covid-19-takes-a-69m-toll-on-iran-s-public-transport-fleet","iran","no measures"
"Iraq","IRQ",20200731,"C5: Close public transport",2,"National","According to Middle East monitor news published on 23rd July , 2020 ,""A full lockdown will be imposed across Iraq during the Eid Al-Adha holiday which starts on 31 July to prevent the spread of the COVID-19, the Ministry of Health announced yesterday.    Linkhttps://web.archive.org/web/20200808110446/https://www.middleeastmonitor.com/20200723-iraq-to-impose-full-lockdown-during-eid-to-prevent-covid-19/  Iraqi Authorities  introduced complete lockdown nationwide till August 9.  Link:https://web.archive.org/web/20200808111349/https://www.garda.com/crisis24/news-alerts/363481/iraq-authorities-announce-total-lockdown-for-eid-al-adha-holiday-until-august-9-update-44","iraq","require closing"
"Iceland","ISL",20200914,"C5: Close public transport",0,NA,"No new public transit restrictions.  http://web.archive.org/web/20200923145038/https://www.covid.is/sub-categories/what-is-ban-on-public-events  http://web.archive.org/web/20200923145334/https://www.government.is/news/article/2020/09/04/Less-stringent-restrictions-on-gatherings-take-effect-on-7-September/    http://web.archive.org/web/20200923145550/https://www.gov.uk/foreign-travel-advice/iceland/coronavirus","iceland","no measures"
"Israel","ISR",20201010,"C5: Close public transport",1,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Israel announced a 3 week national lockdown effective 18 September from 14:00 until 11 October 2020.     The emergency regulations lay out health rules for public transportation, indicating it will operate during the lockdown, though it remains unclear whether it will be scaled back. Trains will cap capacity at 50%, and intra-city buses will be allowed to carry a maximum of 32 passengers. Intercity buses, meanwhile, may only take 30 passengers. Tickets for the trains must be purchased in advance, while bus tickets must be activated by the passengers, except for people who require assistance from the driver. Eating is not permitted on board.     https://web.archive.org/web/20201001092512/https://www.timesofisrael.com/israels-lockdown-rules-effective-from-september-18-at-2-p-m/     https://web.archive.org/web/20201001093334/https://www.timesofisrael.com/who-by-prayer-who-by-protest-a-guide-for-the-lockdown-perplexed/ ","israel","recommend closing/ significantly reduce volume"
"Italy","ITA",20201006,"C5: Close public transport",1,"National","Public transportation including airlines, trains, and buses continue to operate, but with reduced frequency.    https://web.archive.org/web/20201013215656/https://it.usembassy.gov/covid-19-information/","italy","recommend closing/ significantly reduce volume"
"Jamaica","JAM",20200908,"C5: Close public transport",1,"National","'The Prime Minister [of Jamaica] said the provision of public transportation by motor cars will be limited to one person less than the maximum number of persons allowed to be carried under the relevant licence.'    https://archive.vn/dRwtR","jamaica","recommend closing/ significantly reduce volume"
"Jordan","JOR",20200925,"C5: Close public transport",1,"National","""The Government of Jordan has closed restaurants, public spaces, and most schools until at least October 1, 2020.  Religious services, including those at mosques and churches, are also suspended.  In addition, the Government of Jordan has implemented social distancing regulations and mandatory mask-wearing in business establishments, public transportation, and government facilities due to COVID-19.  Jordan restricts gatherings to 20 people.  Delivery services for food, public transportation, and health services remain available.""    https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","recommend closing/ significantly reduce volume"
"Japan","JPN",20200704,"C5: Close public transport",0,NA,"No state of emergency to be reinstated:    https://web.archive.org/web/20200712220113/https://www.japantimes.co.jp/news/2020/07/08/national/coronavirus-cases-state-of-emergency/#.XwuITCieQ2w","japan","no measures"
"Kazakhstan","KAZ",20201012,"C5: Close public transport",2,"Regional","From October 13, public transport in the Mangistau region will stop operating during weekends.  Link: https://archive.vn/hebQL","kazakhstan","require closing"
"Kenya","KEN",20200929,"C5: Close public transport",1,"National","""Users of public or private transport are required to wear a protective mask.""  https://web.archive.org/web/20201008014524/https://ke.usembassy.gov/covid-19-information/","kenya","recommend closing/ significantly reduce volume"
"Kyrgyzstan","KGZ",20201003,"C5: Close public transport",0,NA,"Is public transportation operating? Yes  Bishkek city public transport operates on weekdays and weekends from 7:00 – 23:00.  Masks are required on public transit.    https://web.archive.org/web/20201014082154/https://kg.usembassy.gov/covid-19-information/","kyrgyzstan","no measures"
"Cambodia","KHM",20200915,"C5: Close public transport",0,NA,"Public transports are open. However mention was found of a now-lifted temporary closure, by the Phnom Penh Municipal Administration on 26 March, of public city bus and water-taxi service linking the northern part of Phnom Penh to Takhmao city in Kandal province via the Mekong River.    Source:  Khmer Times, ""City bus, water taxi services shut down to prevent spread of coronavirus""  http://archive.vn/DemzL","cambodia","no measures"
"South Korea","KOR",20200902,"C5: Close public transport",0,NA,"No change in policy detected.     Link: https://web.archive.org/web/20200903084436/http://ncov.mohw.go.kr/upload/viewer/skin/doc.html?fn=1599091520803_20200903090520.pdf&rs=%2Fupload%2Fviewer%2Fresult%2F202009%2F","south korea","no measures"
"Kuwait","KWT",20201003,"C5: Close public transport",1,"National","Public transport operating as normal.    https://web.archive.org/web/20201013195918/https://kw.usembassy.gov/covid-19-information/","kuwait","recommend closing/ significantly reduce volume"
"Laos","LAO",20200922,"C5: Close public transport",0,NA,"According to the US embassy website, public transportation has resumed operation.  http://web.archive.org/web/20201001185759/https://la.usembassy.gov/covid-19-information/   ","laos","no measures"
"Lebanon","LBN",20200818,"C5: Close public transport",0,NA,"All Covid-19 related restrictions appear to have been lifted after the tragedy of the Port of Beirut explosion.   https://web.archive.org/web/20200826164623/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","lebanon","no measures"
"Liberia","LBR",20200722,"C5: Close public transport",1,"National","""The status of other restrictions, such as curfews and quarantine measures, is currently unclear following the expiration of the state of emergency.""  https://web.archive.org/web/20200730034221/https://www.worldaware.com/covid-19-alert-liberia-state-emergency-expires-july-21-international-flights-ongoing  ","liberia","recommend closing/ significantly reduce volume"
"Libya","LBY",20200626,"C5: Close public transport",2,"National","June 26 - With the country’s Coronavirus cases still increasing, Libya’s Tripoli-based government extended the country’s (west and south) 8pm to 6am curfew for another ten days from tomorrow – taking it to 7 July. The government also imposed a 24-hour weekend ban for the second weekend running to reduce socialising. Movement between cities is also prohibited.    Link: http://web.archive.org/web/20200710113908/https://www.libyaherald.com/2020/06/26/as-cases-rise-to-698-tripoli-extends-coronavirus-curfew-until-7-july/","libya","require closing"
"Sri Lanka","LKA",20200831,"C5: Close public transport",0,NA,"Guidelines for using public transport are available by the Ministry of Health and Indigenous Medical Sciences. See guidelines, archived: http://web.archive.org/web/20200909113316/http://www.pmoffice.gov.lk/download/press/D00000000011_EN.pdf","sri lanka","no measures"
"Lesotho","LSO",20201002,"C5: Close public transport",0,NA,"No new information","lesotho","no measures"
"Lithuania","LTU",20201009,"C5: Close public transport",1,"Regional","https://web.archive.org/web/20201011210425/https://www.gov.uk/foreign-travel-advice/lithuania/coronavirus. From Friday 9 October, Raseiniai District will be subject to local lockdown restrictions, for an initial period of 14 days. ","lithuania","recommend closing/ significantly reduce volume"
