"CountryName","public_transport-CountryCode","public_transport-Date","Public Transport","public_transport-PolicyValue","public_transport-Flag","public_transport-Notes","public_transport-region","public_transport-value"
"Aruba","ABW",20200907,"C5: Close public transport",0,NA,"Masks must be worn on public transportation    https://web.archive.org/web/20200916144011/https://www.arubacovid19.org/ddg","aruba","no measures"
"Afghanistan","AFG",20200826,"C5: Close public transport",0,NA,"Lockdown measures are no longer enforced, hence public transport can also resume https://web.archive.org/web/20200904195409/https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/afghanistan_covid-19_access_impediment_report_01_jul_-_25_aug_2020.pdf","afghanistan","no measures"
"Angola","AGO",20200916,"C5: Close public transport",1,"National","Public transportation is operating at 50 percent capacity until October 1, 2020 and 75 percent from that day onward.  http://web.archive.org/web/20200927024309/https://ao.usembassy.gov/covid-19-information/ ","angola","recommend closing/ significantly reduce volume"
"Albania","ALB",20200923,"C5: Close public transport",0,NA,"No change.","albania","no measures"
"Andorra","AND",20200707,"C5: Close public transport",1,"National","""Decree measures are also established to protect public transport users and staff. Thus, it is stipulated that buses must operate in such a way that the capacity of 50% is respected and it is necessary for public transport users to wear a mask. At the same time it is described that extreme hygiene measures must be taken in all vehicles intended for public passenger transport, with special attention to the surfaces on which passengers and workers come into contact.""  https://web.archive.org/web/20200716090024/https://www.govern.ad/comunicats/item/11716-el-govern-decreta-l-us-obligatori-de-mascaretes-com-a-mesura-preventiva-davant-la-covid-19","andorra","recommend closing/ significantly reduce volume"
"United Arab Emirates","ARE",20201003,"C5: Close public transport",1,"National","Public transportation is in operation.  https://web.archive.org/web/20201010010211/https://ae.usembassy.gov/u-s-citizen-services/covid-19-information/","united arab emirates","recommend closing/ significantly reduce volume"
"Argentina","ARG",20201001,"C5: Close public transport",2,"Regional","Is public transportation operating? Yes.  - Limited public transportation within cities with strict limitations is operating. Intercity transport is mostly suspended.    - Transport remains extremely restricted.  The Ministry of Transportation halted all Argentine intercity domestic buses, trains, and flights in March, and most of these services remain suspended due to the ongoing quarantine order.  - In the Buenos Aires metropolitan area, only essential workers with a circulation permit may board public transportation. These regulations are likely to remain in place for the duration of the quarantine order. ","argentina","require closing"
"Australia","AUS",20200828,"C5: Close public transport",1,"Regional","Victoria remains in Stage 4 lockdown with reduced public transport services and recommendation to only use public transport for essential reasons. ","australia","recommend closing/ significantly reduce volume"
"Austria","AUT",20200917,"C5: Close public transport",0,NA,"No policy change","austria","no measures"
"Azerbaijan","AZE",20200929,"C5: Close public transport",1,"National","The term of the special quarantine regime and the hardened special quarantine regime in the territory of the Republic of Azerbaijan has been extended until 06:00 on November 2, 2020 by the cabinet of ministers.  - In the territory of Baku, Sumgayit cities and Absheron region in the hardened special quarantine mode:  October 3, 2020 from 00:00 to October 5, 06:00, October 10 from 00:00 to October 12, 06:00 until 17:00 on October 17 from 06:00 on October 19, from 00:00 on October 24 to 06:00 on October 26 and from 00:00 on October 31 to 06:00 on November 2. Public transport and passenger transportation in the Baku Metro will be suspended   http://web.archive.org/web/20201007230202if_/https://nk.gov.az/az/article/1073/   ","azerbaijan","recommend closing/ significantly reduce volume"
"Burundi","BDI",20200922,"C5: Close public transport",0,NA,"No policy change found","burundi","no measures"
"Belgium","BEL",20200930,"C5: Close public transport",0,NA,"""In Belgium  You are allowed to move around freely.  If you are using public transport (bus, tram or train) and are you older than 12 years of age, wear a face mask or a scarf covering your mouth and nose.""    https://web.archive.org/web/20201010013257if_/https://www.info-coronavirus.be/en/faq/#id_6","belgium","no measures"
"Benin","BEN",20200915,"C5: Close public transport",0,NA,"'Travel within the country should be limited to essential travel only. Capacity on public transport is limited to 50%.'  https://web.archive.org/web/20200720145911/https://www.gov.uk/foreign-travel-advice/benin/coronavirus  ","benin","no measures"
"Burkina Faso","BFA",20200711,"C5: Close public transport",0,NA,"No new policy identified.","burkina faso","no measures"
"Bangladesh","BGD",20200804,"C5: Close public transport",1,"National","On the 4th August 2020, the Bangladeshi government announced that it would be extending domestic restrictions to control the spread of COVID-19. The provisional deadline for the extension is the 31st August. As of the 4th August, the restrictions permit for the partial resuming of public transport services, and ""bus services for long-distance routes and Dhaka are operating at reduced capacity and are implementing social distancing measures. Rail services have also resumed at reduced capacity and with social distancing measures in place.""  Link: https://web.archive.org/web/20200807090705/https://www.worldaware.com/covid-19-alert-bangladesh-extends-modified-domestic-restrictions-through-aug-31","bangladesh","recommend closing/ significantly reduce volume"
"Bulgaria","BGR",20200912,"C5: Close public transport",0,NA,"No change.","bulgaria","no measures"
"Bahrain","BHR",20200928,"C5: Close public transport",0,NA,"No new restriction. ","bahrain","no measures"
"Bosnia and Herzegovina","BIH",20201003,"C5: Close public transport",0,NA,"No new information identified.","bosnia and herzegovina","no measures"
"Belarus","BLR",20200908,"C5: Close public transport",0,NA,"No change in policy found.","belarus","no measures"
"Belize","BLZ",20200902,"C5: Close public transport",0,NA,"""Public transportation is currently operating within Belize. All passengers are required to wear masks.""    https://web.archive.org/web/20200902003040/https://bz.usembassy.gov/covid-19-information/    ","belize","no measures"
"Bermuda","BMU",20200929,"C5: Close public transport",0,NA,"""Buses and ferries are back in operation with required physical distancing and mask wearing for patrons. Minibuses and Taxi operators have updated guidance to protect their health and safety while operating.""   https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","no measures"
"Bolivia","BOL",20200921,"C5: Close public transport",2,"Regional","No change in policy found, transport - including public transport - still restricted. ""From September 1 to 30, the following restrictions are maintained: closing of borders, suspension of face-to-face classes and prohibition of public events (cultural, sports, holidays and political). Likewise, the movement of people and vehicles from Monday to Friday from 8:00 p.m. to 5:00 a.m., and on Saturdays and Sundays from 4:00 p.m. to 5:00 a.m.""     http://web.archive.org/web/20201001095534/https://www.minsalud.gob.bo/4559-bolivia-iniciara-en-septiembre-la-transicion-hacia-la-fase-pos-confinamiento-y-de-vigilancia-comunitaria","bolivia","require closing"
