"CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value","Current","Change"
"Afghanistan","AFG",20201109,"C8: International travel controls",1,NA,"According to the UK foreign office:    ""Everyone arriving in Afghanistan needs to have their temperature checked at the airport. If your temperature is high, the government will advise you to quarantine and will offer you medical attention at two hospitals in Kabul.""    https://web.archive.org/web/20201120094516/https://www.gov.uk/foreign-travel-advice/afghanistan/entry-requirements","afghanistan","screening arrivals","AFG",20201109,"C7: Restrictions on internal movement",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no measures","AFG",20201109,"C6: Stay at home requirements",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no measures","AFG",20201109,"C4: Restrictions on gatherings",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no restrictions","AFG",20201109,"C5: Close public transport",0,NA,"No change in previous policy, no restrictions apply.    Official webpage of the Danish embassy in Afghanistan states no specific restrictions due to Covid    https://web.archive.org/web/20201120094201/https://afghanistan.um.dk/en/travel%20and%20residence/nycoronavirus-covid19/","afghanistan","no measures",7890,12.44
"Albania","ALB",20201204,"C8: International travel controls",1,NA,"No policy change","albania","screening arrivals","ALB",20201204,"C7: Restrictions on internal movement",2,"National","No policy change","albania","restrictions in place","ALB",20201204,"C6: Stay at home requirements",2,"National","No policy change","albania","require not leaving house except for essentials","ALB",20201204,"C4: Restrictions on gatherings",4,"National","No policy change","albania","restrictions on gatherings of <= 10 people","ALB",20201127,"C5: Close public transport",0,NA,"No policy change.","albania","no measures",20973,27.48
"Algeria","DZA",20201122,"C8: International travel controls",4,NA,"Algeria closed all land borders and suspended non-cargo international air and maritime travel as of March 17 and suspended domestic flights as of March 22.  Are commercial flights operating? No   Only special commercial repatriation flights are in operation","algeria","ban on all regions/total border closure","DZA",20201122,"C7: Restrictions on internal movement",2,"Regional","Is a curfew in place? Yes   Are there restrictions on intercity or interstate travel? Yes    A curfew is in effect in 29 of Algeria’s 48 provinces, including in Algiers, where the curfew is from 11 pm to 6 am. The other provinces covered by the curfew are:  Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.  Curfews are constantly being reviewed and revised and the curfew may be more restrictive in certain provinces or in certain areas of the provinces above for short periods of time as the health situation develops.     https://web.archive.org/web/20201129081208/https://dz.usembassy.gov/covid-19-information/","algeria","restrictions in place","DZA",20201122,"C6: Stay at home requirements",2,"Regional","A curfew is in effect from 8pm to 5am in 29 provinces. These are: Algiers, Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.    https://web.archive.org/web/20201129080406/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","require not leaving house except for essentials","DZA",20201122,"C4: Restrictions on gatherings",4,"National","There is a nationwide ban on family gatherings of any kind, including marriages.    https://web.archive.org/web/20201129080406/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","restrictions on gatherings of <= 10 people","DZA",20201130,"C5: Close public transport",2,"Regional","A curfew is in effect in 29 of Algeria’s 48 provinces, including in Algiers, where the curfew is from 11 pm to 6 am. The other provinces covered by the curfew are:  Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.  Curfews are constantly being reviewed and revised and the curfew may be more restrictive in certain provinces or in certain areas of the provinces above for short periods of time as the health situation develops. Public transport is disrupted in these areas.    https://web.archive.org/web/20201207113108/https://dz.usembassy.gov/covid-19-information/","algeria","require closing",28731,24.01
"Andorra","AND",20201125,"C8: International travel controls",2,NA,"No policy change  https://archive.vn/ccdhT  ","andorra","quarantine arrivals from some/ all regions","AND",20201116,"C7: Restrictions on internal movement",0,NA,"No policy updates.","andorra","no measures","AND",20201125,"C6: Stay at home requirements",1,"National","No policy change","andorra","recommend not leaving house","AND",20201125,"C4: Restrictions on gatherings",4,"National","No policy change","andorra","restrictions on gatherings of <= 10 people","AND",20201125,"C5: Close public transport",1,"National","No policy change","andorra","recommend closing/ significantly reduce volume",682,-14.64
"Angola","AGO",20201118,"C8: International travel controls",4,NA,"""The borders of the Republic of Angola remain closed, with entries into and exits from national territory subject to the health control defined by the competent authorities, in accordance with the International Health Regulations and with the National Health Regulations.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)","angola","ban on all regions/total border closure","AGO",20201123,"C7: Restrictions on internal movement",1,"National","For boarding on domestic flights, it is compulsory to serological test presentation with negative result, carried out in the 72 hours preceding the journey, no authorisation being required    ""1. It is recommended that all citizens refrain from circulating on public and similar spaces and roads, and who remain at their homes, except for necessary and unavoidable journeys.    2. Abstaining from movement is particularly recommended or stay on the public highway from 10 pm to 5 am.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)","angola","recommend not to travel between regions","AGO",20201123,"C6: Stay at home requirements",1,"National","""1. It is recommended that all citizens refrain from circulating on public and similar spaces and roads, and who remain at their homes, except for necessary and unavoidable journeys.    2. Abstaining from movement is particularly recommended or stay on the public highway from 10 pm to 5 am.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)","angola","recommend not leaving house","AGO",20201123,"C4: Restrictions on gatherings",2,"National","  The COVID-19 prevention and control measures in force, within the scope of the Presidential Decree on the Situation of Public Disasters, will be renewed for an additional period of 30 days, from Monday, November 23, until on the 22nd of December.  https://web.archive.org/web/20201202145145/https://governo.gov.ao/ao/noticias/governo-actualiza-medidas-de-controlo-da-covid-19/    Activities and meetings held indoors must not exceed 50% of the room capacity, nor the maximum number of 150 people.    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)   ","angola","restrictions on gatherings between 101-1000 people","AGO",20201123,"C5: Close public transport",1,"National","""Urban and interurban public transport from passengers, both public and private, operate with up to 75% of its capacity.""    https://web.archive.org/web/20201202150415/https://governo.gov.ao/fotos/frontend_1/gov_documentos/2020_dri_169__medidas_excepcionais_e_temporarias_3742179835f96a3aa662f8.pdf  (Official decrete regarding Covid-19 restrictions)  ","angola","recommend closing/ significantly reduce volume",6904,2.22
"Argentina","ARG",20201201,"C8: International travel controls",3,NA,"""Per the latest Argentine government policy, most foreigners who are not a resident in Argentina, including U.S. citizens, will not be permitted to enter Argentina; the U.S. Embassy is not aware of an estimated end date for this travel ban.""    ""Argentine authorities are implementing a “tourism pilot program” for citizens and residents of bordering countries traveling to the Buenos Aires Metropolitan Area for tourism.  This program does not apply to the United States.  In addition to the sworn statement required of all passengers entering Argentina, persons entering under this pilot program must also present a negative COVID-19 PCR test within the 72 hours before travel and proof of medical insurance for COVID-19 that covers hospitalization or isolation for the duration of their stay in Argentina. Travelers under the program  must enter Argentina at Ministro Pistarini Ezeiza International Airport, San Fernando International Airport, or the Buquebus Ferry Terminal in Buenos Aires.  As Argentine authorities are still finalizing the details of this pilot program, persons who believe they meet its requirements should contact Argentine immigration directly.  The U.S. Department of State continues to advise against all travel to Argentina, and the Level 4 “Do Not Travel” advisory for Argentina remains in effect.""    https://web.archive.org/web/*/https://ar.usembassy.gov/covid-19/  ","argentina","ban arrivals from some regions","ARG",20201201,"C7: Restrictions on internal movement",2,"Regional","Are there restrictions on intercity or interstate travel? Yes.  Travel between cities, departments, and provinces is restricted. Additional information about movement exemptions can be found here  (In Spanish). Individual provinces may require additional local permits to enter or transit.  https://web.archive.org/web/*/https://ar.usembassy.gov/covid-19/","argentina","restrictions in place","ARG",20201201,"C6: Stay at home requirements",2,"Regional","""In order to protect public health against the spread of the new coronavirus, it was established that all people who live, or are temporarily, in the jurisdictions where this regulation governs must remain in their usual homes, only being able to make minimal movements and Essential to stock up on cleaning supplies, medicines and food.""   https://web.archive.org/web/*/https://www.argentina.gob.ar/coronavirus/aislamiento","argentina","require not leaving house except for essentials","ARG",20201201,"C4: Restrictions on gatherings",4,"Regional","""In order to protect public health against the spread of the new coronavirus, it was established that all people who live, or are temporarily, in the jurisdictions where this regulation governs must remain in their usual homes, only being able to make minimal movements and Essential to stock up on cleaning supplies, medicines and food.""   https://web.archive.org/web/*/https://www.argentina.gob.ar/coronavirus/aislamiento","argentina","restrictions on gatherings of <= 10 people","ARG",20201201,"C5: Close public transport",2,"Regional","Is public transportation operating? Yes.  Limited public transportation within cities with strict limitations is operating.   In the Buenos Aires metropolitan area, only essential workers with a circulation permit may board public transportation. These regulations are likely to remain in place for the duration of the quarantine order. Travelers should expect further travel disruptions with little notice.  Long-haul intercity transportation options are restricted to essential workers as outlined in the national quarantine order as well as those seeking medical treatment.  The Government of Argentina has also indicated that U.S. citizens may use these transportation options to connect with confirmed international departure opportunities from Buenos Aires.  All passengers are required to have a valid Certificado Único de Circulación to travel and should consult transportation provider and local officials regarding travel eligibility and additional requirements.  https://web.archive.org/web/*/https://ar.usembassy.gov/covid-19/","argentina","require closing",124323,-9.32
"Australia","AUS",20201028,"C8: International travel controls",3,NA,"no change","australia","ban arrivals from some regions","AUS",20201028,"C7: Restrictions on internal movement",2,"Regional","In Metropolitan area, travel upto 25 km is allowed  Entire of Victoria (including Melbourne metropolitan area) is now in stage 3 (reduced restrictions) from 28th October 2020. The next worst region of New South Wales has further relaxed restrictions, so coding based on the stage 3 restrictions as in Victoria   http://web.archive.org/web/20201028213135/https://www.dhhs.vic.gov.au/victorias-restriction-levels-covid-19  https://www.nytimes.com/2020/10/28/world/australia/melbourne-lockdown-ends.html  https://web.archive.org/web/20201027135418/https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules ","australia","restrictions in place","AUS",20201108,"C6: Stay at home requirements",1,"National","From 11:59pm on 8 November, metropolitan Melbourne moves in line with the rest of the state and the 25km distance restriction no longer applies.    ""Travel between regional Victoria and metropolitan Melbourne only allowed under specified exceptions."" rule lifted and intrastate travel allowed.    Recommendations for elderly and vulnerable.","australia","recommend not leaving house","AUS",20201122,"C4: Restrictions on gatherings",3,"National","From November 22nd, up to 50 people can gather outdoors from any number of households, excluding infants under 12 months. Additionally, up to 15 visitors, including dependants, per day can visit a household, either together or separately.","australia","restrictions on gatherings between 11-100 people","AUS",20201028,"C5: Close public transport",1,"Regional","Allowed with restrictions. Public transport facilities are open and people can travel <25km  Entire of Victoria (including Melbourne metropolitan area) is now in stage 3 (reduced restrictions) from 28th October 2020. The next worst region of New South Wales has further relaxed restrictions, so coding based on the stage 3 restrictions as in Victoria   http://web.archive.org/web/20201028213135/https://www.dhhs.vic.gov.au/victorias-restriction-levels-covid-19  https://www.nytimes.com/2020/10/28/world/australia/melbourne-lockdown-ends.html  https://web.archive.org/web/20201027135418/https://www.nsw.gov.au/covid-19/what-you-can-and-cant-do-under-rules ","australia","recommend closing/ significantly reduce volume",1434,3.53
"Austria","AUT",20201124,"C8: International travel controls",3,NA,"Some travel bans exist, arrival in Austria from some other countries requires quarantine/a valid negative test.  https://web.archive.org/web/20201103185234/https://www.bmk.gv.at/service/corona/einreisebestimmungen.html","austria","ban arrivals from some regions","AUT",20201124,"C7: Restrictions on internal movement",1,"National","Due to lockdown (0h-24h) people are expected not to travel within regions except for things allowed to leave the house for (in order to prevent risk for life or property; taking care of people in need/family related obligations; coverage of daily essential needs, work or education related reasons; sports and walks; appointments with public offices or court).  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","recommend not to travel between regions","AUT",20201124,"C6: Stay at home requirements",2,"National","Lockdown 0h-24h (until Dec 6), requirement to stay at home except for special situations (e.g. in order to prevent risk for life or property; takign care of people in need/family related obligations; coverage of daily essential needs, work or education related reasons; sports and walks; appointments with public offices or court).  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","require not leaving house except for essentials","AUT",20201124,"C4: Restrictions on gatherings",4,"National","Lockdown 0h-24h (until Dec 6), requirement to stay at home except for special situations (e.g. in order to prevent risk for life or property; takign care of people in need/family related obligations; coverage of daily essential needs, work or education related reasons; sports and walks; appointments with public offices or court).  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","restrictions on gatherings of <= 10 people","AUT",20201124,"C5: Close public transport",1,"National","Public transport is fully functioning, but face mask and min. distance is mandatory. Taxis (and similar services) only 2 people per row. Funiculars etc. are closed.  https://web.archive.org/web/20201130011213/https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Aktuelle-Ma%C3%9Fnahmen.html","austria","recommend closing/ significantly reduce volume",41754,-26.57
"Azerbaijan","AZE",20201129,"C8: International travel controls",4,NA,"No changes found since the last announcements","azerbaijan","ban on all regions/total border closure","AZE",20201129,"C7: Restrictions on internal movement",1,"Regional","No changes found since the last announcements","azerbaijan","recommend not to travel between regions","AZE",20201129,"C6: Stay at home requirements",1,"Regional","No changes found since the last announcements","azerbaijan","recommend not leaving house","AZE",20201129,"C4: Restrictions on gatherings",4,"Regional","No changes found since the last announcements","azerbaijan","restrictions on gatherings of <= 10 people","AZE",20201129,"C5: Close public transport",2,"Regional","No changes found since the last announcements","azerbaijan","require closing",59028,109.1
"Bahrain","BHR",20201124,"C8: International travel controls",1,NA,"All incoming passengers must be tested at their own expense, and if the result is negative they no longer need to quarantine.   https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","screening arrivals","BHR",20201124,"C7: Restrictions on internal movement",0,NA,"no restrictions on intercity and interstate travels  https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","no measures","BHR",20201124,"C6: Stay at home requirements",2,"National","no change per Ministry of Health website.   https://web.archive.org/web/20201207162414/https://www.moh.gov.bh/COVID19","bahrain","require not leaving house except for essentials","BHR",20201124,"C4: Restrictions on gatherings",4,"National","Gatherings of more than five individuals on roads, yards, public beaches, parks, and other public places are prohibited. Private beaches are open with mandatory health precautions.  https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","restrictions on gatherings of <= 10 people","BHR",20201124,"C5: Close public transport",0,NA,"no change. public transports are open  https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","no measures",1603,-14.96
