"CountryName","Current","Change"
"Afghanistan",7890,12.44
"Albania",20973,27.48
"Algeria",28731,24.01
"Andorra",682,-14.64
"Angola",6904,2.22
"Antigua and Barbuda",8,29.49
"Argentina",124323,-9.32
"Armenia",21409,-33.31
"Australia",1434,3.53
"Austria",41754,-26.57
"Azerbaijan",59028,109.1
"Bahamas",1413,-13.34
"Bahrain",1603,-14.96
"Bangladesh",73845,-1.03
"Barbados",19,118.52
"Belarus",21852,15.76
"Belgium",577065,7.41
"Belize",3822,37.89
"Benin",107,-41.48
"Bhutan",40,41.47
"Bolivia",11614,-21.31
"Bosnia and Herz.",32730,-1.33
"Botswana",2622,8.32
"Brazil",531348,29.05
"Brunei",2,866.67
"Bulgaria",93981,24.89
"Burkina Faso",658,132.8
"Burundi",85,35.33
"C̫te d'Ivoire",220,13.64
"Cabo Verde",297,-17.85
"Cambodia",47,127.54
"Cameroon",965,61.84
"Canada",70227,31.42
"Central African Rep.",2940,0.54
"Chad",54,7.24
"Chile",10127,2.79
"China",1553,122.59
"Colombia",68126,16.01
"Comoros",5,-28.9
"Congo",692,-52.32
"Costa Rica",39898,2.17
"Croatia",21685,29.85
"Cuba",799,43.85
"Cyprus",11161,59.89
"Czechia",57253,-39.96
"Dem. Rep. Congo",1347,112.47
"Denmark",20859,21.82
"Diamond Princess",0,-42.86
"Djibouti",56,-28.35
"Dominica",13,-27.11
"Dominican Republic",29479,23.09
"Ecuador",10770,23.14
"Egypt",8555,85.47
"El Salvador",2432,-7.83
"Eq. Guinea",45,0
"Eritrea",132,51.42
"Estonia",5927,62.26
"eSwatini",302,37.84
"Ethiopia",27552,-8.99
"Fiji",7,561.54
"Finland",9718,53.55
"France",2129185,9.64
"Gabon",86,15.31
"Gambia",22,69
"Georgia",26681,28.42
"Germany",300209,5.18
"Ghana",855,-36.69
"Greece",91777,47.47
"Grenada",2,9
"Guatemala",6781,6.28
"Guinea",720,-23.79
"Guinea-Bissau",63,-33.24
"Guyana",676,-10.03
"Haiti",1018,-11.24
"Honduras",58976,4.04
"Hungary",174966,36.14
"Iceland",186,-39.34
"India",378909,-7.11
"Indonesia",85345,24.15
"Iran",257256,38.7
"Iraq",57597,-2.69
"Ireland",49221,9.38
"Israel",14298,26.05
"Italy",737525,5.51
"Jamaica",3714,-5.93
"Japan",25420,36.17
"Jordan",46911,-37.79
"Kazakhstan",25745,23.65
"Kenya",17716,2.24
"Kosovo",12587,17.7
"Kuwait",3362,-41.39
"Kyrgyzstan",6516,-9.61
"Laos",13,292
"Latvia",19950,69.73
"Lebanon",44899,2.8
"Lesotho",828,-3.86
"Liberia",235,70.02
"Libya",28894,-0.1
"Liechtenstein",150,-23.07
"Lithuania",44354,47.73
"Luxembourg",8324,-9.19
"Madagascar",291,-7.13
"Malawi",383,0
"Malaysia",10862,-12.08
"Maldives",714,3.76
"Mali",1846,58.35
"Malta",1901,-3.92
"Marshall Islands",0,-7.69
"Mauritania",1775,219.93
"Mauritius",27,-14.94
"Mexico",201331,24.09
"Moldova",14179,-26.68
"Monaco",65,-29.68
"Mongolia",509,142.51
"Montenegro",10552,8.23
"Morocco",39999,-8.84
"Mozambique",1800,-0.99
"MS Zaandam",0,-42.86
"Myanmar",18862,13.71
"Namibia",1141,23.12
"Nepal",12686,-46.24
"Netherlands",562727,15.96
"New Zealand",55,21.22
"Nicaragua",1500,8.69
"Niger",669,235.03
"Nigeria",3903,8.8
"North Macedonia",21854,13.89
"Norway",20804,30.42
"Oman",7151,-8.08
"Pakistan",45324,54.66
"Panama",22055,10.75
"Papua New Guinea",76,373.6
"Paraguay",24291,18.84
"Peru",28249,-14.96
"Philippines",25325,-9.74
"Poland",316743,-7.49
"Portugal",70426,-6.26
"Qatar",2256,-8.62
"Romania",95218,-3.62
"Russia",485175,4.81
"Rwanda",471,-2.08
"S. Sudan",116,-93.7
"Saint Kitts and Nevis",4,860
"Saint Lucia",99,-1.23
"Saint Vincent and the Grenadines",7,51.72
"Samoa",0,214.29
"San Marino",314,-1.94
"Sao Tome and Principe",44,23.36
"Saudi Arabia",3712,-33.97
"Senegal",392,305.22
"Serbia",231965,91.35
"Seychelles",16,290.74
"Sierra Leone",507,0.81
"Singapore",80,-1.74
"Slovakia",30753,-28.89
"Slovenia",20834,2.35
"Solomon Islands",12,8.39
"Somalia",929,4.28
"South Africa",46385,15.13
"South Korea",8699,122.17
"Spain",1505306,10.87
"Sri Lanka",7978,19.11
"Sudan",7262,47.14
"Suriname",-8,-90.91
"Sweden",290532,36.34
"Switzerland",73075,-23.68
"Syria",4063,6.92
"Taiwan",129,74.32
"Tajikistan",497,-6.55
"Tanzania",305,0
"Thailand",211,58.57
"Timor-Leste",1,133.33
"Togo",376,-33.35
"Trinidad and Tobago",664,23.66
"Tunisia",21695,-0.58
"Turkey",436801,385.23
"Uganda",13619,43.7
"Ukraine",386415,23.37
"United Arab Emirates",17946,88.23
"United Kingdom",1689016,17.11
"United States of America",9092131,20.62
"Uruguay",2305,100.7
"Uzbekistan",2113,-1.05
"Vanuatu",0,-42.86
"Vatican",12,0
"Venezuela",3980,-0.23
"Vietnam",118,-5.98
"West Bank and Gaza",24985,121.16
"Yemen",90,43.44
"Zambia",331,-30.97
"Zimbabwe",1547,124.98
