"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Kyrgyzstan","KGZ",20201129,"C6: Stay at home requirements",0,NA,"No changes found since last announcements.","kyrgyzstan","no measures"
"Cambodia","KHM",20201130,"C6: Stay at home requirements",2,"National","The public is directed to follow the instructions of the Cambodian Ministry of Heath with the Royal Government of Cambodia to stay home unless engaged in necessary business.   https://web.archive.org/web/20201204232420/https://kh.usembassy.gov/covid-19-information/","cambodia","require not leaving house except for essentials"
"South Korea","KOR",20201110,"C6: Stay at home requirements",1,"National","No changes in policy. ","south korea","recommend not leaving house"
"Kuwait","KWT",20201201,"C6: Stay at home requirements",1,"National","No change:  https://web.archive.org/web/20201207202816/https://kw.usembassy.gov/covid-19-information/","kuwait","recommend not leaving house"
"Laos","LAO",20201130,"C6: Stay at home requirements",0,NA,"No change","laos","no measures"
"Lebanon","LBN",20201130,"C6: Stay at home requirements",2,"National","No policy change found.  ","lebanon","require not leaving house except for essentials"
"Liberia","LBR",20201019,"C6: Stay at home requirements",1,"National","On 28 October 2020, there is no record of changes to any current policies on the Executive Mansion or Ministry of Health sites.  On 27 October 2020, Health Minister, Dr. Wilhelmina Jallah, indicated that people should continue to follow all health protocols prescribed by the World Health Organization (WHO) and health authorities in Liberia.    https://web.archive.org/web/20201029060315/https://moh.gov.lr/press-release/2020/moh-receives-15-ambulances-from-world-bank-to-fight-covid-19/","liberia","recommend not leaving house"
"Libya","LBY",20201116,"C6: Stay at home requirements",1,"National","Prayer in places of worship is allowed but social distancing measures should be followed. Restaurants and cafes are allowed to reopen, however people are not allowed to dine inside.  https://web.archive.org/web/20201108112323if_/https://visalist.io/emergency/lockdown/libya-country","libya","recommend not leaving house"
"Sri Lanka","LKA",20201102,"C6: Stay at home requirements",3,"Regional","Pockets of Sri Lanka continue to be under lockdowns and isolation orders:     Sources:  - AP reported on Nov 09: ""[...] the government lifted a curfew that had been in effect in the capital, Colombo, and its suburbs.. Only pockets where infections are high will remain under isolation with no one permitted to enter or leave the area."", https://web.archive.org/web/20201115204723/https://apnews.com/article/virus-outbreak-sri-lanka-asia-arrests-colombo-0511a1a54f569364f2e8bdb901f42c79  - The Hindu, a daily newspaper in India reported on Nov 8, 2020: https://web.archive.org/web/20201115213247/https://www.thehindu.com/news/international/coronavirus-sri-lanka-to-lift-capital-district-lockdown-on-monday/article33052113.ece  ""“The curfew which was in force on the Western province will be lifted at 5 a.m. tomorrow”, Army Commander Shavendra Silva, who heads the national operations center to prevent COVID-19, said. However, Silva said that several areas in the province would still be under isolation.  The capital city and the adjoining Gampaha district was under quarantine curfew continuously over the last 10 days.""","sri lanka","require not leaving house with min exceptions"
"Lesotho","LSO",20201118,"C6: Stay at home requirements",1,"National","No change:  https://web.archive.org/web/20201130205245/https://www.gov.uk/foreign-travel-advice/lesotho/coronavirus","lesotho","recommend not leaving house"
"Lithuania","LTU",20201107,"C6: Stay at home requirements",1,"National","Lithuania’s government on Wednesday declared a three-week lockdown starting on Nov.7 (extended end of November), to slow the spread of the novel coronavirus which has accelerated in recent weeks in the Baltic nation.    ""It is recommended to:    -restrict movement for non-essential reasons; leave the place of residence only for the purpose of work, shopping, health and other services;  -hold no private parties in private premises or to hold them with the participation of no more than 10 people wearing face masks;  -restrict close contact with members of other families and/or households or meet with members of no more than 2 families and/or households wearing masks.""    https://web.archive.org/web/20201202092539/https://koronastop.lrv.lt/en/news/covid-19-related-restrictions-updated-on-25-november-2020","lithuania","recommend not leaving house"
"Luxembourg","LUX",20201124,"C6: Stay at home requirements",2,"National","No change: there is still a curfew between 11 pm and 6 am for public spaces.   http://web.archive.org/web/20201130202547/https://covid19.public.lu/dam-assets/covid-19/toolbox/nouvelles-mesures/affiche/11-26/201124-santelu-mesures-affiche-a4-EN.pdf","luxembourg","require not leaving house except for essentials"
"Latvia","LVA",20201207,"C6: Stay at home requirements",0,NA,"No measures found on stay at home requirements. ","latvia","no measures"
"Macao","MAC",20200928,"C6: Stay at home requirements",0,NA,"No change","macao","no measures"
"Morocco","MAR",20201122,"C6: Stay at home requirements",2,"Regional","Individuals entering or departing from the Casablanca city limits must have a letter of permission issued by Moroccan authorities. There is a curfew in Casablanca between the hours of 9:00 pm and 6:00 am. See https://web.archive.org/web/20201129160809/https://ma.usembassy.gov/25161/","morocco","require not leaving house except for essentials"
"Monaco","MCO",20200511,"C6: Stay at home requirements",1,"National","In phase 2 reopening, it is recommended to stay at home.    http://web.archive.org/web/20201208140324/https://en.gouv.mc/Policy-Practice/Coronavirus-Covid-2019/Actualites/Lifting-the-lockdown-in-the-Principality-step-by-step      ","monaco","recommend not leaving house"
"Moldova","MDA",20201130,"C6: Stay at home requirements",1,"Regional","The National Extraordinary Public Health Commission (CNESP) has ruled to establish emergency state in the public health sector all over Moldova on the period 30 November 2020 – 15 January 2021:  People over 63 years old have restrictions on movement.      https://web.archive.org/web/20201205215306/https://gov.md/en/content/national-extraordinary-public-health-commission-declares-state-emergency-public-health-all   https://web.archive.org/web/20201205214717/https://md.usembassy.gov/u-s-citizen-services/covid-19-information/","moldova","recommend not leaving house"
"Madagascar","MDG",20201129,"C6: Stay at home requirements",0,NA,"No change.  There is no longer a curfew in place.   https://web.archive.org/web/20201206220739/https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/","madagascar","no measures"
"Mexico","MEX",20201109,"C6: Stay at home requirements",2,"Regional","Red states have all public areas closed and people are allowed to walk around and near their homes only during the day. As of November 15, Chihuahua and Durango are red. Source: https://web.archive.org/web/20201116025425/https://www.infobae.com/america/mexico/2020/11/14/semaforo-epidemiologico-covid-19-la-cdmx-en-naranja-con-alerta-y-dos-estados-en-rojo/","mexico","require not leaving house except for essentials"
"Mali","MLI",20201124,"C6: Stay at home requirements",0,NA,"Even though new measures were supposed to be announced for December 1st, the presidential speech was incomprehensibly cancelled.     New measures would have included ""closure for 28 days of schools, but also of restaurants, bars and other “places of pleasure”, closure of markets from 2 p.m., night curfews from 9 p.m"".    https://web.archive.org/web/20201207222356/https://northafricapost.com/45715-mali-cancellation-of-presidential-speech-on-measures-against-covid-19.html","mali","no measures"
"Myanmar","MMR",20201201,"C6: Stay at home requirements",2,"Regional","The Burmese government announced stay-at-home orders for all of Yangon Region (except for Coco Island), effective at 8:00 AM on September 21.  Residents of Yangon Region must abide by the following orders: 1.) stay at home unless going to/from work, 2.) employees of private organizations and businesses must telework (those working in banking and finance, gas stations, food and refrigeration services, production and manufacturing of pharmaceutical products, medical equipment production, and the distribution of drinking water and personal hygiene items are exempt).  http://web.archive.org/web/20201109171739/https://mm.usembassy.gov/covid-19-information/","myanmar","require not leaving house except for essentials"
"Mongolia","MNG",20201124,"C6: Stay at home requirements",2,"National","The Government of Mongolia has extended the nation-wide all-out readiness until 1 December 2020. During the strict lock-down the public is urged to refrain from all non-essential movement.  All non-essential movements are prohibited beyond the timeframe 7.00-10.00 and 17.00-20.00.   Pedestrians and vehicles are stopped by the police to check the purpose of their movement.    https://archive.vn/0NGLd#selection-785.684-793.76","mongolia","require not leaving house except for essentials"
"Mozambique","MOZ",20201114,"C6: Stay at home requirements",0,NA,"No policy change","mozambique","no measures"
"Mauritania","MRT",20201122,"C6: Stay at home requirements",0,NA,"No policy change","mauritania","no measures"
"Mauritius","MUS",20201129,"C6: Stay at home requirements",0,NA,"No policy change","mauritius","no measures"
"Malawi","MWI",20201108,"C6: Stay at home requirements",0,NA,"No policy change - no official changes or news were found.","malawi","no measures"
"Malaysia","MYS",20201110,"C6: Stay at home requirements",2,"Regional","  In EMCO and TEMCO areas, movement in and out of premises or areas is prohibited, similar to the stay-at-home-order.    In AEMCO, residents in areas placed under the order are allowed to move within and travel out of the designated location, subject to clearance by officials stationed there.    https://archive.vn/kaiPb#selection-561.883-561.911","malaysia","require not leaving house except for essentials"
"Namibia","NAM",20201209,"C6: Stay at home requirements",1,"National","https://web.archive.org/save/https://mhss.gov.na/covid-19-regulations-documents","namibia","recommend not leaving house"
"Niger","NER",20201130,"C6: Stay at home requirements",0,NA,"Thus far, Nigeriens have gone about their activities while observing social distancing measures.","niger","no measures"
"Nigeria","NGA",20201124,"C6: Stay at home requirements",2,"National","No new update  Source: http://web.archive.org/web/20201205152753/https://covid19.ncdc.gov.ng/advisory/","nigeria","require not leaving house except for essentials"
"Nicaragua","NIC",20201129,"C6: Stay at home requirements",0,NA,"No policy change.    https://web.archive.org/web/20201205093541/https://www.gov.uk/foreign-travel-advice/nicaragua/coronavirus","nicaragua","no measures"
"Netherlands","NLD",20201122,"C6: Stay at home requirements",1,"National","""The Dutch government asks residents and visitors to comply with the measures in place to fight the spread of COVID-19:  maintain social distance (stay 1.5 meters apart), wash hands, sneeze and cough into your elbow, use paper tissues, stay at home as much as possible, avoid non-essential travel, and get tested at the first sign of symptoms""    https://web.archive.org/web/*/https://nl.usembassy.gov/covid-19-information-3/","netherlands","recommend not leaving house"
"Norway","NOR",20201127,"C6: Stay at home requirements",1,"National","Nochange","norway","recommend not leaving house"
"Nepal","NPL",20201122,"C6: Stay at home requirements",1,"National","The Government of Nepal has authorized local authorities to impose lockdowns within their jurisdictions. Limited lockdowns in Pokhara and many towns in the Terai remain possible.  If you must travel locally, please inquire about local conditions.    https://web.archive.org/web/20201020230202/https://np.usembassy.gov/covid-19-information-2/","nepal","recommend not leaving house"
"New Zealand","NZL",20201119,"C6: Stay at home requirements",0,NA,"No policy change    As of 30 November, all of New Zealand remains at Alert Level 1.  No stay at home measures are in place. Individuals can leave their house and gather with as many people as they want. Individuals are encouraged to wear face coverings when they cannot maintain physical distance from people they do not know.    https://web.archive.org/web/20201129204218/https://covid19.govt.nz/travel-and-the-border/travel-within-new-zealand/leaving-your-house/","new zealand","no measures"
"Oman","OMN",20201117,"C6: Stay at home requirements",0,NA,"No new changes reported between 17th Nov and 30th Nov  Link - https://web.archive.org/web/20201124060648/https://www.omanobserver.om/category/coronavirus/  https://web.archive.org/web/20201130162123/https://gulfnews.com/world/gulf/oman","oman","no measures"
"Pakistan","PAK",20201025,"C6: Stay at home requirements",3,"Regional","""The Office of the Deputy Commissioner of Islamabad announced that more streets would be closed on the night October 25  for being identified as covid hot spots.""    ""Only people with jobs in essential services and with negative covid certificate will be allowed to leave. Health teams will complete TTQ and give clearance for opening up. ACs will coord for making sure all arrangements are in place. Stay Safe Islamabad. Second wave is here.""    Source: http://web.archive.org/web/20201027223859/https://www.facebook.com/ictaofficial/posts/2480727608894017","pakistan","require not leaving house with min exceptions"
"Panama","PAN",20201119,"C6: Stay at home requirements",1,"National","No change","panama","recommend not leaving house"
"Peru","PER",20201117,"C6: Stay at home requirements",2,"National","The islandwide curfew time will remain at 9 pm – 5 am each day, continuing from 9 pm tonight, Monday November 16, until 5 am on December 1, 2020.   /web/20201130213708/https://opm.gov.jm/news/extension-of-measures-under-the-disaster-risk-management-act/","peru","require not leaving house except for essentials"
"Philippines","PHL",20201130,"C6: Stay at home requirements",2,"Regional","A 00:00 - 04:00 (local time) curfew remains in place in Metro Manila while Navotas City will remain under the 20:00 - 04:00 curfew.    https://web.archive.org/web/20201207212655/https://www.garda.com/crisis24/news-alerts/405356/philippines-authorities-extend-covid-19-restriction-through-december-31-update-39","philippines","require not leaving house except for essentials"
"Papua New Guinea","PNG",20201110,"C6: Stay at home requirements",0,NA,"Stay at home restrictions are no more applicable     Refer to: http://web.archive.org/web/20201109083742/https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/papua-new-guinea-travel-advisory.html","papua new guinea","no measures"
"Poland","POL",20201103,"C6: Stay at home requirements",1,"National","Senior, stay home! We call for limiting the movement of seniors - especially people over 70 years of age.   https://web.archive.org/web/20201104172405/https://www.gov.pl/web/koronawirus/aktualne-zasady-i-ograniczenia","poland","recommend not leaving house"
"Puerto Rico","PRI",20201201,"C6: Stay at home requirements",2,"National","No policy change. Executive order OE-2020-080 establishes a curfew.    https://web.archive.org/web/20201116194236/https://www.estado.pr.gov/en/executive-orders/","puerto rico","require not leaving house except for essentials"
"Portugal","PRT",20201124,"C6: Stay at home requirements",2,"Regional","The current state of emergency includes a night-time curfew and a half-day lockdown on weekend days across most of the country.    Link: https://web.archive.org/web/20201205215429/https://br.reuters.com/article/idUSL8N2IK3VW    Is a curfew in place? Yes, in the high, very high and extremely high risk Municipalities. Please click here for a list of those municipalities.    Link: https://web.archive.org/web/20201205203200/https://pt.usembassy.gov/covid-19-information/","portugal","require not leaving house except for essentials"
"Paraguay","PRY",20201204,"C6: Stay at home requirements",2,"National","The curfew from midnight to 5am remains.","paraguay","require not leaving house except for essentials"
"Palestine","PSE",20201207,"C6: Stay at home requirements",3,"Regional","""Prime Minister Mohammad Shtayyeh said in a press conference that Bethlehem, Nablus, Hebron, and Tulkarm will be under lockdown starting Thursday evening and for one week, while the night curfew that has been in force for two weeks will continue in the remaining districts...    Travel between all West Bank districts will also be stopped from Thursday and for one week, except for vital goods.""    Source: https://web.archive.org/web/20201207230612/https://english.wafa.ps/Pages/Details/122294    Release on PM's website:  http://www.palgov.ps/article/3779/????-???????-????-?????-????-???????-????-?????-????-?????-????-??????","palestine","require not leaving house with min exceptions"
"Qatar","QAT",20201124,"C6: Stay at home requirements",1,"National","Vulnerable groups (including those above the age of 60, pregnant women, or those suffering from chronic conditions) are advised to remain at home.  https://web.archive.org/web/20201208001332/https://covid19.moph.gov.qa/EN/Documents/PDFs/ENG%20PHASE%20IV.pdf","qatar","recommend not leaving house"
"Romania","ROU",20201206,"C6: Stay at home requirements",2,"Regional","The Ministry of Interior published the list of quarantined localities. Also, the Ministry of Health published the recommendations for preventing the spread of coronavirus (working from home where it is possible, people should avoid crowded areas and limit to the maximum any direct contact with other people, other than those who are part of the same family). Also, according to the Decision 52/5.11.2020 of The National Emergency Committee, in all localities in Romania, it is in place a ban for traffic persons outside the home between 23:00 and 5:00 (exception for travel in professional interest, for medical assistance). Between 6th of December (5 AM) and 7th of December (1 AM), there are no more in place restrictions regarding movement due to National Elections.   Link: https://archive.fo/wip/Bv8vi , https://archive.fo/cUlEp and https://archive.fo/T7Aib ","romania","require not leaving house except for essentials"
"Russia","RUS",20201201,"C6: Stay at home requirements",2,"Regional","No change in policy.    https://web.archive.org/web/20201205204726/https://ru.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201205205720/https://www.themoscowtimes.com/2020/12/05/coronavirus-in-russia-the-latest-news-dec-5-a69117","russia","require not leaving house except for essentials"
"Rwanda","RWA",20201125,"C6: Stay at home requirements",1,"National","There is a curfew from 10:00 PM to 4:00 AM  https://web.archive.org/save/https://rw.usembassy.gov/health-alert-covid-19-information/","rwanda","recommend not leaving house"
"Saudi Arabia","SAU",20201030,"C6: Stay at home requirements",0,NA,"Cannot find any government guidance that recommends to people to stay at home, including the source used for the previous 1G coding.","saudi arabia","no measures"
"Sudan","SDN",20201125,"C6: Stay at home requirements",0,NA,"No curfew is in place.  Source: http://web.archive.org/web/20201207153107/https://sd.usembassy.gov/covid-19-information/","sudan","no measures"
"Senegal","SEN",20201130,"C6: Stay at home requirements",0,NA,"There is no curfew. See https://web.archive.org/web/20201207231721/https://sn.usembassy.gov/covid-19-information/","senegal","no measures"
"Singapore","SGP",20201124,"C6: Stay at home requirements",1,"National","The Multi-Ministry Taskforce regularly reviews our border measures to manage the risk of importation and onward local transmission from travellers. Given the surveillance regime that we have put in place for travellers serving Stay-Home Notice (SHN) at their own residence, we will also adopt a risk-based approach and allow more travellers to serve their 14-day SHN at a suitable place of residence.     https://web.archive.org/web/20201207185849/https://www.moh.gov.sg/news-highlights/details/updates-to-stay-home-notice-and-charging-policy-for-travellers","singapore","recommend not leaving house"
"Solomon Islands","SLB",20201023,"C6: Stay at home requirements",0,NA,"No measures found. ","solomon islands","no measures"
"Sierra Leone","SLE",20201116,"C6: Stay at home requirements",1,"National","Citizens are required to observe social distancing protocols, wear cloth face coverings in public, stay home if they are sick. See: https://web.archive.org/web/20201123092033/https://lr.usembassy.gov/covid-19-information/","sierra leone","recommend not leaving house"
"El Salvador","SLV",20201124,"C6: Stay at home requirements",2,"National","Old -  On August 24, El Salvador reopened its economy.  Essential services such as medical assistance, grocery stores, pharmacies, public transportation, and gas stations are operating and available to the public.     https://web.archive.org/web/20201116072312/https://sv.usembassy.gov/covid-19-information/","el salvador","require not leaving house except for essentials"
"San Marino","SMR",20201130,"C6: Stay at home requirements",0,NA,"no change in policy","san marino","no measures"
"Somalia","SOM",20201129,"C6: Stay at home requirements",1,"National","No policy change identified following a review of previously used sources and a recent web search.","somalia","recommend not leaving house"
"Serbia","SRB",20201125,"C6: Stay at home requirements",1,"National","No policy changes.    https://web.archive.org/web/20201125022744/https://www.srbija.gov.rs/vest/en/163819/government-passes-new-anti-coronavirus-measures.php    https://web.archive.org/web/20201125021304/https://rs.usembassy.gov/serbia-covid-19-information/","serbia","recommend not leaving house"
"South Sudan","SSD",20201201,"C6: Stay at home requirements",2,"National","Conflict between UK embassy site and US embassy site.     UK says that there is a 10pm - 6am curfew. US says no curfew.   https://web.archive.org/web/20201209213934/https://www.gov.uk/foreign-travel-advice/south-sudan/coronavirus  https://web.archive.org/web/20201209215506/https://ss.usembassy.gov/covid-19-information/    There is no mention in major Sudanese news publications (https://eyeradio.org/, for example) about a curfew since in May, the curfew was relaxed to 10pm to 6am. ","south sudan","require not leaving house except for essentials"
"Suriname","SUR",20201122,"C6: Stay at home requirements",2,"National","There is a curfew in place from 11pm to 5am daily.  Source: http://web.archive.org/web/20201127104810/https://sr.usembassy.gov/covid-19-information/","suriname","require not leaving house except for essentials"
"Slovakia","SVK",20201201,"C6: Stay at home requirements",2,"National","No change in policy since November’s extension of the state of emergency, restrictions are expected to continue through the end of the year.    https://web.archive.org/web/20201205232259/https://korona.gov.sk/  https://web.archive.org/web/20201205231632/https://sk.usembassy.gov/covid-19-information/","slovakia","require not leaving house except for essentials"
"Slovenia","SVN",20201116,"C6: Stay at home requirements",0,NA,"No changes found","slovenia","no measures"
"Sweden","SWE",20201201,"C6: Stay at home requirements",1,"National","No change in policy, but the wording of the Public Health Agency in its recommendations has gradually become more urgent, especially in the regional recommendations. ","sweden","recommend not leaving house"
"Eswatini","SWZ",20201124,"C6: Stay at home requirements",0,NA,"There is no guidance encouraging people to stay at home, just to wear masks, social distance, and avoid crowds    https://web.archive.org/save/https://sz.usembassy.gov/covid-19-information/    https://web.archive.org/web/20201206223546/http://www.gov.sz/images/CORONA/Health-statement-COVID-03-DECEMBER-2020-FINAL.pdf  ","eswatini","no measures"
"Seychelles","SYC",20201116,"C6: Stay at home requirements",0,NA,"no policy change","seychelles","no measures"
"Syria","SYR",20201202,"C6: Stay at home requirements",1,"National","Unable to find any updates since last week - https://web.archive.org/web/20201201022737/https://reliefweb.int/report/syrian-arab-republic/syrian-arab-republic-covid-19-humanitarian-update-no-21-30-november-2020","syria","recommend not leaving house"
"Chad","TCD",20201102,"C6: Stay at home requirements",2,"National","No change","chad","require not leaving house except for essentials"
"Togo","TGO",20201117,"C6: Stay at home requirements",0,NA,"As per this page last updated on 6 Aug, ""Togo has lifted stay at home orders""  http://web.archive.org/web/20201129094706/https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/togo-travel-advisory.html","togo","no measures"
"Thailand","THA",20201122,"C6: Stay at home requirements",1,"National","No updates or changes noted  https://web.archive.org/web/20201129195756/https://thailand.prd.go.th/ewt_news.php?nid=10434&filename=index  https://web.archive.org/web/20201129200850/https://thailand.prd.go.th/more_news.php?cid=2&filename=index","thailand","recommend not leaving house"
"Tajikistan","TJK",20201111,"C6: Stay at home requirements",0,NA,"No changes found","tajikistan","no measures"
"Turkmenistan","TKM",20201208,"C6: Stay at home requirements",0,NA,"There has been no significant change since the last date input. The government continues to not require people to stay at home. There are rumours that a lockdown might have been introduced since 1 November 2020, but the source is unofficial and cannot be confirmed. It should also be noted that the Turkmenistan government still insists ""no cases of coronavirus infection have been registered in the country to date.""    http://web-old.archive.org/web/20201116183946/https://for.kg/news-674059-en.html    https://www.barrons.com/news/turkmen-leader-opens-new-hospital-insists-country-virus-free-01605340808","turkmenistan","no measures"
"Timor-Leste","TLS",20201204,"C6: Stay at home requirements",2,"National","State of Emergency is in effect through 11:59 PM, January 2, 2021.  Officials continue to ban people who show symptoms of COVID-19, except for those in a medical emergency, from using public transport. Authorities require people to wear facemasks, frequently sanitize their hands, and maintain a 1.5-meter (5-feet) distancing from one another when in public. The government is also encouraging people to avoid crowds.    https://web.archive.org/web/20201207150049/https://tl.usembassy.gov/covid-19-information/  https://web.archive.org/web/20201207145830/https://www.garda.com/crisis24/news-alerts/407056/timor-leste-authorities-extend-nationwide-state-of-emergency-through-jan-2-2021-update-11","timor-leste","require not leaving house except for essentials"
"Trinidad and Tobago","TTO",20201124,"C6: Stay at home requirements",0,NA,"No evident policy change.    http://web.archive.org/web/20201207151101/https://www.covid19.gov.tt/the-public-health-2019-novel-coronavirus-2019-ncov-no-31-regulations-2020/","trinidad and tobago","no measures"
"Tunisia","TUN",20201125,"C6: Stay at home requirements",2,"National","no changes since last update  https://archive.is/2AeOR ","tunisia","require not leaving house except for essentials"
"Turkey","TUR",20201202,"C6: Stay at home requirements",1,"Regional","Turkish citizens and residents are subject to a weekend curfew (Friday, 9 PM- Monday, 5 AM). Turkish citizens and residents aged 65 and older are restricted to their place of residence, and only allowed outside between 10:00 and 13:00. Turkish citizens and residents aged 20 and below are only allowed outside during the hours of 13:00 and 16:00.  Link: https://archive.fo/uEtHR and https://archive.fo/3dmIF","turkey","recommend not leaving house"
"Tanzania","TZA",20201122,"C6: Stay at home requirements",0,NA,"No policy change","tanzania","no measures"
"Uganda","UGA",20201124,"C6: Stay at home requirements",2,"Regional","Only some areas are still under lockdown. Officials have noted that they think the increased freedoms are responsible for increased numbers. Watch for new controls.  ""developing a resurgence strategy to address the spike in cases. This will be based on a set threshold which includes the number of cases and deaths in a given period."" https://web.archive.org/web/20201207215630/https://www.iol.co.za/news/africa/ugandas-health-ministry-blames-lifting-of-lockdown-for-covid-19-surge-b3877b4f-c9a2-5974-a33b-9810531f0591","uganda","require not leaving house except for essentials"
"Ukraine","UKR",20201123,"C6: Stay at home requirements",1,"National","No evidence of additional policy changes. Adaptive quarantine in place until December 31 and weekend quarantine continues to November 30.    https://web.archive.org/web/20201125013008/https://www.kmu.gov.ua/en/timeline?type=posts&category_id=13&tag=Healthcare","ukraine","recommend not leaving house"
"Uruguay","URY",20201117,"C6: Stay at home requirements",0,NA,"No policy change found.    http://web.archive.org/web/20201130032754/https://www.presidencia.gub.uy/comunicacion/comunicacionnoticias/medidas-gobierno-interior-emergencia-sanitaria-covid19","uruguay","no measures"
"United States of America","USA",20201116,"C6: Stay at home requirements",2,"Regional","On Nov 16 Chicago and New Mexico issued a stay-at-home order, under which people are only allowed to leave the house for emergencies or essential needs such as grocery shopping. California has imposed a curfew in most of its counties.     http://web.archive.org/web/20201123192402/https://cv.nmhealth.org/public-health-orders-and-executive-orders/frequently-asked-questions/","united states of america","require not leaving house except for essentials"
"Uzbekistan","UZB",20201016,"C6: Stay at home requirements",1,"National","No evident policy changes:   http://web.archive.org/web/20201102170121/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","uzbekistan","recommend not leaving house"
"Venezuela","VEN",20201016,"C6: Stay at home requirements",2,"National","""Only one member per family is allowed to go outside of their home to access supermarkets/pharmacies."".   Link: https://web.archive.org/web/20200903132143/https://www.gov.uk/foreign-travel-advice/venezuela/coronavirus    Measures have been reinforced on the 26th with a ""strong"" quarantine and no public events: In commonly used areas, such as markets, self-markets, pharmacies, and other consumption of mass-consumption products, as well as in mass transit units such as metres, trains, buses, busetas and transport stops, compliance with disinfection and social estating measures should be monitored in particular, in accordance with specific decisions on the matter issue issued by bodies with competence in this area. If these measures are not met, the activities will not be authorized for their operation.    http://mpps.gob.ve/index.php/sala-de-prensa/notnac/687-este-26oct-arranca-cuarentena-radical-del-esquema-7-7-plus-contra-la-covid-19-tras-exitosa-semana-de-flexibilizacion","venezuela","require not leaving house except for essentials"
"Vietnam","VNM",20201117,"C6: Stay at home requirements",2,"Regional","""As a precaution, Da Nang city authorities have announced 15 days of social distancing measures from July 28. As per the measures, residents in Hai Chau, Thanh Khe, Son Tra, Ngu Hanh Son, Cam Le, and Lieu Chieu districts are advised to stay home except for necessities such as food, medicine, and emergencies. Several streets were also placed under lockdown.""    https://web.archive.org/web/20201130185225/https://www.vietnam-briefing.com/news/vietnam-business-operations-and-the-coronavirus-updates.html/","vietnam","require not leaving house except for essentials"
"Vanuatu","VUT",20201117,"C6: Stay at home requirements",0,NA,"No change in policy.","vanuatu","no measures"
"Yemen","YEM",20201027,"C6: Stay at home requirements",0,NA,"in response to the COVID-19 pandemic, the local authorities of Yemen declared a nationwide health emergency and introduced many preventative measures similar to those adopted by rest of the world starting in March 2020 in order to reduce the transmission of COVID-19. These measures include the adoption of restrictions on movement countrywide.     But there is no specific restriction on staying at home but this maybe not be required as the on going civil war make gathering risky.    https://web.archive.org/web/20201029155916/https://reliefweb.int/report/yemen/covid-19-movement-restrictions-yemen-mobility-restriction-dashboard-14-21-october-2020","yemen","no measures"
"South Africa","ZAF",20201130,"C6: Stay at home requirements",3,"Regional","""A 10 p.m. to 4 a.m. curfew will be reinstated in Nelson Mandela Bay in the Eastern Cape province, Ramaphosa said in a televised address on Thursday.""    https://web.archive.org/web/20201207065904/https://www.bloomberg.com/tosv2.html?vid=&uuid=b1891d10-3859-11eb-8a9c-03e7ee6fcdf8&url=L25ld3MvYXJ0aWNsZXMvMjAyMC0xMi0wMy9yYW1hcGhvc2EtcmVpbnN0YXRlcy1jdXJicy1pbi1zb3V0aC1hZnJpY2FuLXZpcnVzLWhvdHNwb3Q=","south africa","require not leaving house with min exceptions"
"Zambia","ZMB",20201116,"C6: Stay at home requirements",1,"National","No new guidance","zambia","recommend not leaving house"
"Zimbabwe","ZWE",20201030,"C6: Stay at home requirements",2,"National","No policy change - this information is still relevant: https://web.archive.org/web/20201027054244/https://zw.usembassy.gov/covid-19-information-2/","zimbabwe","require not leaving house except for essentials"
"Taiwan","TWN",20201021,"C6: Stay at home requirements",0,NA,"There is no regulations about staying at home at present.    https://web.archive.org/web/20201029041803/https://covid19.mohw.gov.tw/ch/cp-4840-53633-205.html","taiwan","no measures"
"Kosovo","RKS",20201129,"C6: Stay at home requirements",2,"National","No change found. ","kosovo","require not leaving house except for essentials"
