"CountryName","stayhome-CountryCode","stayhome-Date","Stay Home","stayhome-PolicyValue","stayhome-Flag","stayhome-Notes","stayhome-region","stayhome-value"
"Bangladesh","BGD",20201110,"C6: Stay at home requirements",2,"Regional","Targeted: According to the US Embassy Website in Bangladesh as of Nov 11, 2020 https://web.archive.org/web/20201111005505/https://bd.usembassy.gov/covid-19-information/:   ""Currently, only certain sectors located within the Wari jurisdiction of the Dhaka South City Corporation are designated as ‘lockdown/containment’ zones. In these areas, the City Corporations will facilitate emergency response services.    It is important to note GoB officials have confirmed that the list of Red zones does not mean the areas are or will be under lockdown restrictions.    Restrictions on Designated Lockdown/Containment Areas:  - **Residents should remain within their homes except for emergencies or for essential needs.**  - **Residents must work from home.**  - Transportation will be suspended. Rickshaws, vans, taxis, auto-rickshaws, and private vehicles are not permitted inside the demarcated areas during the 21-day lockdown.  - No public gatherings of any kind are allowed.  - Pedestrian and vehicular movements controlled through secured entry/exit points.  - No indoor dining services allowed. Delivery food service options are available.  - Grocery stores and pharmacies will remain open.  - Residents will be allowed to shop in bazaars only when necessary.  - COVID-19 tests will be available to residents, and home isolation or institutional isolation will be arranged for patients who test positive.  - Shopping malls, gyms, sports complexes and recreation centres will be closed.  - Only people who are ill may go to hospitals.  - Mosques and other places of worship are closed to residents. Only official staff are permitted to enter.  - ATM services will remain open. Banks will operate in a limited capacity.  - Factories in towns will remain closed, but factories and agricultural production-related factories in rural areas can remain operational.  - Agricultural work must be performed under strict health and hygiene regulations.""    This information has not changed as of Nov 18, 2020: https://web.archive.org/web/20201122221519/https://bd.usembassy.gov/covid-19-information/      IN GENERAL: COVID19-related restrictions seem be removed, although with strict adherence to mask wearing.  Dhaka Tribune: ""On October 31, the Cabinet Division sent notices to all public offices of the country, asking them to restrict entry and to refuse service to anyone without a mask. The notice further said masks have been made compulsory for all offices, courts, shopping malls, bazaars, state or government buildings and **social events**.""  source: https://web.archive.org/web/20201122215536/https://www.dhakatribune.com/health/coronavirus/2020/11/02/no-restriction-on-public-movement-to-curb-second-wave-of-covid-19    Nov 12, reuters.com: ""“The decision has been taken considering the second wave... We can’t play with the lives of our children,” said a senior official of the education ministry, who declined to be named. **The government however, has lifted most other restrictions**""  source: https://web.archive.org/web/20201122212335if_/https://www.reuters.com/article/us-health-coronavirus-bangladesh-educati/bangladesh-extends-school-shutdown-over-second-covid-19-wave-idUSKBN27S26A  ","bangladesh","require not leaving house except for essentials"
"Bulgaria","BGR",20201130,"C6: Stay at home requirements",0,NA,"No policy change    As of 7 December, no stay at home measures are in place.    Observance of a physical distance of at least 1.5 m between persons when they are in open public places is required for all persons who are not from one family / household.    https://web.archive.org/web/20201207051648/https://coronavirus.bg/bg/merki/ogranichitelni-merki","bulgaria","no measures"
"Bahrain","BHR",20201124,"C6: Stay at home requirements",2,"National","no change per Ministry of Health website.   https://web.archive.org/web/20201207162414/https://www.moh.gov.bh/COVID19","bahrain","require not leaving house except for essentials"
"Bosnia and Herzegovina","BIH",20201127,"C6: Stay at home requirements",2,"National","No policy change.","bosnia and herzegovina","require not leaving house except for essentials"
"Belarus","BLR",20201128,"C6: Stay at home requirements",0,NA,"No change to policy.  https://web.archive.org/web/20201128122842/https://www.gov.uk/foreign-travel-advice/belarus/coronavirus","belarus","no measures"
"Belize","BLZ",20201128,"C6: Stay at home requirements",1,"National","Starting on Saturday the 28th of November, a curfew will be implemented from 9:00 pm to 5:00 am and this will last for a period for 21 days.   There shall be work from home orders and or staff shift rotation for public and private employees. We shall be providing food packages and a stipend to families who are quarantined.    https://web.archive.org/web/20201128061228/https://www.caribbeannationalweekly.com/caribbean-breaking-news-featured/belize-announces-new-covid-19-measures-including-nightly-curfew/","belize","recommend not leaving house"
"Bermuda","BMU",20201120,"C6: Stay at home requirements",0,NA,"No policy change.","bermuda","no measures"
"Bolivia","BOL",20201201,"C6: Stay at home requirements",0,NA,"Suspension of all COVID-19 restrictions until January 15, 2021 http://web.archive.org/web/20201207174911/https://bo.usembassy.gov/covid-19-information/","bolivia","no measures"
"Brazil","BRA",20201202,"C6: Stay at home requirements",2,"Regional","The state government of Paraná established a curfew for 15 days.    Link:  https://web.archive.org/web/20201208041724/https://g1.globo.com/pr/parana/noticia/2020/12/01/novo-coronavirus-governo-do-parana-decreta-toque-de-recolher-em-todo-o-estado.ghtml  ","brazil","require not leaving house except for essentials"
"Barbados","BRB",20201130,"C6: Stay at home requirements",0,NA,"None in place ","barbados","no measures"
"Brunei","BRN",20201201,"C6: Stay at home requirements",0,NA,"No change.  The government has not issued or enforced a curfew order.  US Embassy Link: http://web.archive.org/web/20201206064005/https://bn.usembassy.gov/u-s-citizen-services-covid-19-information/","brunei","no measures"
"Bhutan","BTN",20201124,"C6: Stay at home requirements",1,"National","There are guidelines for certain categories of people to stay at home - staff who have breastfeeding babies, children below age of one and those who have serious health issues can work from home.  http://web.archive.org/web/20201208093035/https://thebhutanese.bt/rcsc-issues-directions-for-civil-servants-to-work-post-lockdown/  The below article also indicates normal activity has resumed but with precautions  http://web.archive.org/web/20201208101528/https://www.gov.bt/covid19/10-09-20-press-release-on-the-completion-of-the-unlocking-period-pmo/","bhutan","recommend not leaving house"
